단지코드,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
A15004201,426,1,미설치,설치,0,3,,입주민전용,시 분,23시 10분,시 분,23시 10분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|3|한국전력공사|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|8|한국전력공사|",0,11,없음
A15004202,740,11,설치,설치,0,7,입주민전용,입주민전용,1시 0분,23시 59분,1시 0분,23시 59분,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|7|주)플러그링크|,7,0,없음
A15004403,352,10,설치,설치,7,23,,입주민전용,24시 59분,23시 59분,24시 59분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|nice|,◆2◆|지하|벽부형충전기|직접입력|완속|20|홈앤서비스|,◆3◆|지상|스탠드형충전기|직접입력|완속|7|현대엔지니어링(주)|",7,23,있음
A15004405,423,8,설치,미설치,8,0,입주민전용,,1시 1분,시 분,23시 59분,시 분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|8|이지차저|,8,0,있음
A15004406,548,15,설치,설치,5,0,,,24시 0분,24시 0분,24시 0분,24시 0분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|5|(주)이엘일렉트릭|,5,0,없음
A15004501,224,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15004502,195,6,미설치,설치,0,3,,외부인허용,시 분,23시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|3|대영채비(주)|,0,3,없음
A15004503,305,6,설치,설치,7,6,입주민전용,입주민전용,6시 30분,4시 30분,22시 30분,22시 30분,"◆1◆|지하|벽부형충전기|직접입력|완속|6|스타코프|,◆2◆|지상|스탠드형충전기|직접입력|완속|7|차지비|",7,6,없음
A15004505,520,13,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15004506,542,5,미설치,설치,0,8,,입주민전용,시 분,0시 0분,시 분,23시 55분,◆1◆|지하|벽부형충전기|직접입력|완속|8|차지비|,0,8,없음
A15004507,2408,4,미설치,설치,0,27,입주민전용,입주민전용,시 분,8시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|27|지커넥트|,0,27,없음
A15005001,501,0,미설치,설치,0,2,,입주민전용,,0시 0분,,23시 0분,"◆1◆|지상|스탠드형충전기|AC3상 7핀|완속|4|ChargER|,◆2◆|||||||",4,0,없음
A15005002,58,0,미설치,미설치,0,0,외부인허용,,시 분,시 분,시 분,시 분,,,,없음
A15005102,149,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15005301,373,5,설치,미설치,5,0,입주민전용,,0시 0분,시 분,23시 59분,시 분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|5|엘지|,5,0,없음
