단지코드,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
A10020550,130,5,미설치,설치,0,3,,입주민전용,시 분,12시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|나이스|,0,3,없음
A10020888,107,1,미설치,설치,0,1,,입주민전용,시 분,24시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|1|지에스차지비|,0,1,있음
A10023322,29,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A10023788,101,3,설치,설치,2,8,외부인허용,외부인허용,0시 1분,0시 1분,23시 59분,23시 59분,"◆1◆|지상|이동형충전기|AC단상 5핀|완속|1|홈앤스비스(주)|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|4|에스트레픽(주)|,◆3◆|지하|이동형충전기|AC단상 5핀|완속|2|홈엔서비스(주)|",1,6,없음
A10023815,166,0,미설치,설치,0,4,,외부인허용,시 분,0시 0분,시 분,0시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|2|(주)에버온|,◆2◆|지하|스탠드형충전기|AC단상 5핀|급속|2|(주)에버온|",0,4,없음
A10023891,360,7,미설치,설치,0,7,,,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|7|이카플러그|,0,7,있음
A10024034,179,6,미설치,설치,0,6,,외부인허용,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|6|파워큐전기차충전서비|,0,6,없음
A10024237,47,0,미설치,미설치,0,0,입주민전용,입주민전용,시 분,시 분,시 분,시 분,,,,없음
A10024327,142,2,미설치,설치,0,0,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|3|에스트래픽|,0,3,없음
A10024359,70,1,미설치,설치,0,2,,입주민전용,시 분,0시 0분,시 분,24시 0분,◆1◆|지하|스탠드형충전기|직접입력|완속|2|직접운영|,0,2,없음
A10024398,1874,10,미설치,설치,0,41,입주민전용,입주민전용,시 분,23시 50분,시 분,23시 50분,◆1◆|지하|벽부형충전기|직접입력|완속|41|나이스차저|,0,41,없음
A10024408,398,29,미설치,설치,0,36,,입주민전용,시 분,1시 1분,시 분,24시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|29|스타코프|,0,29,있음
A10024410,170,4,미설치,설치,0,10,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|DC콤보 7핀|완속|2|시그넷이브이|,◆2◆|지하|스탠드형충전기|직접입력|급속|1|시그넷이브이|",0,3,없음
A10024421,824,4,미설치,설치,0,6,,입주민전용,시 분,24시 1분,시 분,24시 1분,"◆1◆|지하|스탠드형충전기|AC3상 7핀|급속|1|중앙제어(주)|,◆2◆|지하|벽부형충전기|AC3상 7핀|완속|5|중앙제어(주)|",0,6,있음
A10024422,780,8,미설치,설치,0,31,,입주민전용,시 분,1시 1분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|급속|31|차지비|,0,31,없음
A10024436,34,0,미설치,설치,0,7,,외부인허용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|AC3상 7핀|급속|2|사용 안함(입주민 전용)|,◆2◆|지하|벽부형충전기|AC3상 7핀|완속|1|사용 안함(입주민 전용)|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|3|휴맥스EV|",0,6,없음
A10024443,300,9,미설치,설치,0,16,,입주민전용,시 분,0시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|16|스타코프|,0,16,없음
A10024463,103,3,미설치,설치,0,5,,입주민전용,시 분,23시 59분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|홈앤서비스 주식회사|,0,5,없음
A10024464,183,2,미설치,설치,0,2,,외부인허용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|스탠드형충전기|직접입력|완속|2|자가|,0,2,없음
A10024468,899,23,미설치,미설치,0,32,,,시 분,시 분,시 분,시 분,,,,있음
A10024470,740,5,미설치,설치,0,5,,,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|5|*|,0,5,없음
A10024473,2532,240,미설치,설치,0,133,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|83|SK|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|13|코스텔|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|48|대영채비|,◆4◆|지하|스탠드형충전기|AC단상 5핀|급속|1|대영채비|",0,145,없음
A10024488,1876,94,미설치,설치,0,44,,입주민전용,시 분,0시 1분,시 분,23시 19분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|43|㈜에버홈|,◆2◆|지하|스탠드형충전기|AC3상 7핀|급속|1|㈜에버홈|",0,44,없음
A10024490,1,7,미설치,설치,0,5,,입주민전용,시 분,23시 59분,시 분,23시 59분,◆1◆|지하|벽부형충전기|직접입력|완속|1|대영채비|,0,1,없음
A10024492,158,8,미설치,설치,0,15,,입주민전용,시 분,0시 0분,시 분,0시 0분,"◆1◆|지하|스탠드형충전기|AC3상 7핀|초급속|1|대영채비|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|2|대영채비|,◆3◆|지하|벽부형충전기|직접입력|완속|12|대영채비|",0,15,없음
A10024495,299,11,미설치,설치,0,3,,입주민전용,시 분,9시 0분,시 분,9시 0분,"◆1◆|지하|스탠드형충전기|DC콤보 7핀|급속|1|중앙제어(주)|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|1|중앙제어(주)|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|8|홈앤서비스|",0,10,있음
A10024501,100,4,미설치,설치,0,4,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|파워큐브코리아|,0,4,없음
A10024503,72,72,미설치,설치,0,37,,입주민전용,시 분,23시 59분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|DC콤보 7핀|급속|2|현대엔지니어링|,◆2◆|지하|스탠드형충전기|DC콤보 7핀|완속|35|현대엔지니어링|",0,37,없음
A10024505,298,7,미설치,설치,0,6,,입주민전용,,0시 0분,,23시 59분,"◆1◆|지하|스탠드형충전기|DC콤보 7핀|급속|0|신마곡벽산블루밍|,◆2◆|지하|스탠드형충전기|DC차데모 10핀|완속|6|지차저|",0,6,없음
A10024524,0,0,미설치,미설치,0,0,,,,,,,,,,없음
A10024532,3,3,미설치,설치,0,3,,입주민전용,시 분,0시 0분,시 분,23시 50분,"◆1◆|지하|벽부형충전기|AC3상 7핀|완속|3|LGu+|,◆2◆|지하|벽부형충전기|AC3상 7핀|완속|3|(주)이지차저|",0,6,없음
A10024547,28,28,미설치,설치,0,28,,입주민전용,시 분,0시 0분,시 분,23시 0분,"◆1◆|지하|벽부형충전기|DC콤보 7핀|완속|21|에버온|,◆2◆|지하|벽부형충전기|DC콤보 7핀|완속|6|자체|,◆3◆|지하|벽부형충전기|DC콤보 7핀|급속|1|자체|",0,28,없음
A10024552,1500,95,미설치,설치,0,51,,입주민전용,시 분,0시 0분,시 분,24시 0분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|급속|4|자체운영|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|10|자체운영|,◆3◆|지하|스탠드형충전기|AC단상 5핀|완속|37|휴맥스|",0,51,없음
A10024562,656,10,미설치,설치,0,14,,입주민전용,시 분,0시 1분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|DC콤보 7핀|완속|8|sk|,◆2◆|지하|스탠드형충전기|AC단상 5핀|급속|2|자체|,◆3◆|지하|벽부형충전기|DC콤보 7핀|완속|4|자체|",0,14,없음
A10024564,2221,200,미설치,설치,0,225,,입주민전용,시 분,23시 59분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|급속|1|LG유플러스볼트업|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|10|이비랑|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|51|LG유플러스볼트업|,◆4◆|지하|벽부형충전기|AC단상 5핀|완속|74|스타코프|",0,136,있음
A10024567,213,10,미설치,설치,0,2,,입주민전용,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|스탠드형충전기|AC3상 7핀|완속|2|옴니시스템(주)|,0,2,있음
A10024574,413,30,미설치,설치,0,7,입주민전용,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|급속|2|한국전력공사|,◆2◆|지하|스탠드형충전기|AC3상 7핀|완속|6|한국전력공사|",0,8,있음
A10024577,855,0,미설치,설치,0,14,,입주민전용,시 분,24시 1분,시 분,24시 1분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|지에스커넥터|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|4|대영채비|,◆3◆|지하|스탠드형충전기|AC3상 7핀|급속|1|대영채비|,◆4◆|지하|이동형충전기|AC단상 5핀|완속|18|파워큐브|",0,28,있음
A10024615,1611,39,미설치,설치,0,10,,입주민전용,,0시 0분,,24시 0분,◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|10|PNE시스템|,0,10,있음
A10024667,156,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A10024691,1671,159,미설치,설치,0,41,,입주민전용,시 분,24시 0분,시 분,24시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|118|sk|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|32|나이스|,◆3◆|지하|스탠드형충전기|AC단상 5핀|완속|7|중앙제어|,◆4◆|지하|스탠드형충전기|AC단상 5핀|급속|2|중앙제어|",0,159,없음
A10024703,540,10,미설치,설치,0,11,,입주민전용,시 분,0시 0분,시 분,0시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|6|휴맥스이브이|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|5|이지차저|",0,11,없음
A10024719,1408,43,미설치,설치,0,22,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|DC콤보 7핀|완속|5|중앙제어|,◆2◆|지하|벽부형충전기|DC콤보 7핀|완속|15|(주)휴맥스이브이|,◆3◆|지하|스탠드형충전기|DC콤보 7핀|급속|2|중앙제어|",0,22,없음
A10024725,1028,50,미설치,설치,0,15,,입주민전용,시 분,0시 1분,시 분,11시 59분,"◆1◆|지하|벽부형충전기|직접입력|완속|5|지차저|,◆2◆|지하|벽부형충전기|직접입력|완속|10|GS|",0,15,없음
A10024741,1907,45,미설치,설치,0,62,외부인허용,입주민전용,,0시 0분,,23시 59분,"◆1◆|지하|스탠드형충전기|AC3상 7핀|급속|4|관리사무소|,◆2◆|지하|이동형충전기|AC단상 5핀|완속|53|파워큐브코리아|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|31|차지비|",0,88,없음
A10024745,1302,40,미설치,설치,0,27,입주민전용,,시 분,0시 0분,시 분,24시 0분,"◆1◆|지하|벽부형충전기|직접입력|완속|25|LGU+볼트업|,◆2◆|지하|스탠드형충전기|직접입력|급속|1|옴니시스템|",0,26,있음
A10024768,0,0,미설치,설치,0,2,,입주민전용,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|직접입력|완속|2|LG u+|,0,2,없음
A10024787,1532,63,미설치,설치,0,30,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|AC3상 7핀|급속|2|피앤이시스템즈|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|2|피앤이시스템즈|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|26|g차져|",0,30,없음
A10024789,932,25,미설치,설치,0,23,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC3상 7핀|완속|5|한국알박|,◆2◆|지하|벽부형충전기|AC3상 7핀|완속|18|sk홈앤서비스|",0,23,있음
A10024793,153,3,미설치,설치,0,3,,입주민전용,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|한국전기차인프라기술|,0,3,없음
A10024811,3,5,설치,설치,2,1,입주민전용,입주민전용,0시 0분,0시 0분,24시 0분,24시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|1|파킹클라우드(주)|,◆2◆|지상|벽부형충전기|AC단상 5핀|완속|1|파킹클라우드(주)|,◆3◆|지상|스탠드형충전기|DC콤보 7핀|급속|1|파킹클라우드(주)|",2,1,없음
A10024822,110,1,설치,미설치,4,0,입주민전용,,0시 0분,,24시 0분,,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|4|sk브로드밴드/홈앤|,4,0,없음
A10024828,1454,51,미설치,설치,0,28,,입주민전용,시 분,23시 59분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|DC차데모 10핀|완속|26|(주)휴맥스|,◆2◆|지하|스탠드형충전기|DC콤보 7핀|급속|2|(주)휴맥스|",0,28,있음
A10024831,2715,75,미설치,설치,0,110,입주민전용,입주민전용,시 분,0시 1분,시 분,0시 1분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|110|플러그링크|,0,110,없음
A10024849,444,14,미설치,설치,0,14,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|급속|1|관리소|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|1|관리소|,◆3◆|지하|벽부형충전기|DC콤보 7핀|완속|12|차지비|",0,14,없음
A10024886,0,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A10024891,5,5,미설치,설치,0,5,,,시 분,1시 0분,시 분,24시 0분,"◆1◆|지하|스탠드형충전기||완속|3||,◆2◆|지하|스탠드형충전기||급속|2||",0,5,없음
A10024894,650,26,미설치,설치,0,38,,입주민전용,시 분,12시 0분,시 분,12시 0분,"◆1◆|지하|스탠드형충전기|DC콤보 7핀|완속|37|플러그링크|,◆2◆|지하|스탠드형충전기|DC콤보 7핀|급속|1|코스텔|",0,38,없음
A10024913,1138,30,미설치,설치,0,25,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|23|차지비|,◆2◆|지하|스탠드형충전기|AC3상 7핀|급속|2|케이차저|",0,25,없음
A10024925,582,10,미설치,설치,0,10,,입주민전용,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|10|대영채비|,0,10,없음
A10024927,493,5,설치,미설치,10,0,,입주민전용,24시 0분,시 분,24시 0분,시 분,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|10|LG유플러스|,10,0,없음
A10024932,461,10,미설치,설치,0,10,,,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|10|파워큐브|,0,10,없음
A10024938,8,8,미설치,설치,0,26,,입주민전용,시 분,23시 59분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|k차저|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|17|EZ차저|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|4|ss차저|",0,26,없음
A10024947,804,6,미설치,설치,0,9,,입주민전용,시 분,1시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|9|(주)파워큐브코리아|,0,9,없음
A10024966,253,3,미설치,설치,0,25,,입주민전용,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC3상 7핀|급속|3|홈앤서비스|,0,3,없음
A10024974,1229,53,미설치,설치,0,27,,입주민전용,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|DC차데모 10핀|완속|27|(주)파워큐브코리|,0,27,있음
A10025003,1421,16,미설치,설치,0,30,,외부인허용,시 분,0시 0분,시 분,23시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|10|에버온|,◆2◆|지하|스탠드형충전기|AC3상 7핀|급속|3|COSTEL|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|62|플러그링크|",0,75,없음
A10025010,5506,392,미설치,설치,0,388,,입주민전용,시 분,0시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|388|고덕아르테온아파트|,0,388,있음
A10025013,1259,29,미설치,설치,0,24,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|24|롯데건설|,0,24,있음
A10025015,350,4,미설치,설치,0,7,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|7|지에스차지비|,0,7,없음
A10025024,1151,48,미설치,설치,0,25,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|16|서울씨엔지(주)|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|36|서울씨엔지(주)|,◆3◆|지하|스탠드형충전기|AC3상 7핀|급속|1|서울씨엔지(주)|,◆4◆|지하|벽부형충전기|AC단상 5핀|완속|10|대영채비|",0,63,있음
A10025070,1833,40,미설치,설치,0,30,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|8|휴맥스|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|32|휴맥스|",0,40,없음
A10025092,0,0,미설치,설치,0,0,,,시 분,0시 0분,시 분,24시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|급속|2|시어스|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|7|시어스|",0,9,없음
A10025097,1116,10,미설치,설치,0,23,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|한국전기차충전서비스|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|18|나이스|",0,23,없음
A10025104,2331,20,미설치,설치,0,52,,입주민전용,시 분,23시 0분,시 분,23시 0분,"◆1◆|지하|스탠드형충전기|직접입력|급속|4|파워큐브코리아|,◆2◆|지하|벽부형충전기|직접입력|완속|48|지차저|",0,52,없음
A10025112,2594,95,미설치,설치,0,48,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|70|스타코프|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|10|이지차저|,◆3◆|지하|스탠드형충전기|AC단상 5핀|완속|6|PNEC|,◆4◆|지하|벽부형충전기|AC단상 5핀|완속|26|에버온|,◆5◆|지하|스탠드형충전기|DC차데모 10핀|급속|6|PNEC|",0,118,없음
A10025115,649,5,미설치,설치,0,14,,입주민전용,시 분,0시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|14|차지비|,0,14,없음
A10025116,449,15,미설치,설치,0,4,,입주민전용,시 분,23시 59분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|4|(주)파워큐브코리아|,0,4,없음
A10025122,187,2,미설치,설치,0,4,,입주민전용,시 분,0시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|대영체비|,0,4,없음
A10025130,1261,11,미설치,설치,0,0,,,시 분,24시 0분,시 분,24시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|12|이지차저|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|4|한화솔루션|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|6|아이파킹|,◆4◆|지하|벽부형충전기|AC단상 5핀|완속|5|클린일렉스|,◆5◆|지하|스탠드형충전기|AC단상 5핀|급속|1|아이파킹|",0,28,없음
A10025133,942,15,미설치,설치,0,4,,입주민전용,시 분,0시 0분,시 분,23시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|이카플러그|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|16|LG유플러스|",0,20,없음
A10025137,120,5,설치,미설치,8,0,입주민전용,,0시 0분,시 분,0시 0분,시 분,"◆1◆|지상|벽부형충전기|AC단상 5핀|완속|8|펌프킨, 에버온|",8,0,없음
A10025157,156,2,미설치,설치,0,3,,,시 분,0시 0분,시 분,23시 0분,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|3|이지차저|,3,0,없음
A10025159,590,27,미설치,설치,0,27,,입주민전용,시 분,0시 0분,시 분,0시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|19|스타코프|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|8|이지차저|",0,27,없음
A10025166,480,6,미설치,설치,0,15,,입주민전용,시 분,0시 0분,시 분,0시 0분,"◆1◆|지하|벽부형충전기|DC콤보 7핀|완속|5|(주)클린일렉스|,◆2◆|지하|스탠드형충전기|DC콤보 7핀|완속|7|(주)클린일렉스|,◆3◆|지하|이동형충전기|DC콤보 7핀|완속|3|(주)메니지온|",0,15,있음
A10025174,569,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A10025192,1594,45,미설치,설치,0,32,,,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|25|이엘일렉트릭|,◆2◆|지하|스탠드형충전기|DC콤보 7핀|급속|7|나인원한남입주자대표|",0,32,없음
A10025193,816,30,미설치,설치,0,0,,,시 분,0시 0분,시 분,23시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|11|신세계아이앤씨|,◆2◆|지하|스탠드형충전기|AC단상 5핀|급속|1|신세계아이앤씨|",0,12,없음
A10025203,2052,54,미설치,설치,0,42,,입주민전용,시 분,0시 0분,시 분,0시 0분,"◆1◆|지하|스탠드형충전기|DC콤보 7핀|급속|4|자체 설치|,◆2◆|지하|벽부형충전기|DC콤보 7핀|완속|38|자체설치, 에버온외|,◆3◆|지하|벽부형충전기|DC콤보 7핀|완속|65|에버온|",0,107,없음
A10025223,250,4,미설치,설치,0,3,,외부인허용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|차지비|,0,3,없음
A10025241,1380,69,미설치,설치,0,69,,입주민전용,시 분,24시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|69|에버온|,0,69,없음
A10025245,1899,39,미설치,설치,0,39,,입주민전용,시 분,1시 1분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|11|파워큐브|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|14|이지차져|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|14|이지차져|",0,39,없음
A10025259,75,2,미설치,설치,0,3,,입주민전용,,0시 0분,,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|3|(주)엘엔테크|,0,3,없음
A10025263,6905,204,미설치,설치,0,138,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|스탠드형충전기|직접입력|급속|3|코스텍(주)|,◆2◆|지하|벽부형충전기|직접입력|완속|116|이지차저(주)|,◆3◆|지하|벽부형충전기|직접입력|완속|16|클린일렉스(주)|",0,135,있음
A10025283,1270,76,미설치,설치,0,26,,입주민전용,시 분,23시 59분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|직접입력|완속|12|LG유플러스|,◆2◆|지하|스탠드형충전기|직접입력|완속|4|LG유플러스|,◆3◆|지하|스탠드형충전기|직접입력|완속|10|한국전력|",0,26,없음
A10025302,350,5,미설치,설치,0,2,,,시 분,6시 0분,시 분,22시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|2|파워큐브코리아|,0,2,없음
A10025310,1507,13,미설치,미설치,0,100,,,시 분,시 분,시 분,시 분,,,,없음
A10025372,199,4,미설치,설치,0,4,,입주민전용,시 분,0시 23분,시 분,0시 23분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|에버온|,0,4,없음
A10025375,0,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A10025386,207,5,미설치,설치,0,10,,입주민전용,시 분,23시 0분,시 분,24시 0분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|(주)에버온|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|5|이지차저|",0,10,있음
A10025387,771,22,설치,설치,7,23,입주민전용,입주민전용,24시 0분,24시 0분,0시 0분,0시 0분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|8|플러그링크|,◆2◆|지상|스탠드형충전기|AC단상 5핀|완속|7|플러그링크|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|10|한국전자금융|,◆4◆|지하|벽부형충전기|AC단상 5핀|완속|5|레드이엔지|,◆5◆|지하|벽부형충전기|AC단상 5핀|완속|26|스타코프|",7,49,있음
A10025397,124,10,미설치,설치,3,8,입주민전용,입주민전용,,0시 0분,,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|8|파워큐브코리아|,◆2◆||스탠드형충전기|AC단상 5핀|완속|3|에버온|",0,8,있음
A10025404,50,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A10025410,1077,29,미설치,설치,0,37,,입주민전용,시 분,23시 59분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|1|(주)파워큐브코리아|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|25|나이스차저|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|10|(주)에버온인프라|,◆4◆|지하|스탠드형충전기|AC3상 7핀|급속|1|PNE|",0,37,있음
A10025415,2304,138,미설치,설치,0,47,입주민전용,입주민전용,시 분,23시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|70|이지차저|,0,70,없음
A10025418,860,30,미설치,설치,0,35,,입주민전용,시 분,24시 0분,시 분,24시 0분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|1|피앤이시스템|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|30|차지비|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|4|차지비|",0,35,있음
A10025428,0,0,미설치,미설치,0,3,,,시 분,시 분,시 분,시 분,,,,없음
A10025456,450,3,미설치,설치,0,11,,,시 분,12시 0분,시 분,12시 0분,◆1◆|지하|스탠드형충전기|AC단상 5핀|완속|11|자체|,0,11,없음
A10025461,1118,10,미설치,설치,0,10,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|직접입력|완속|10|g차저|,0,10,없음
A10025527,155,5,미설치,설치,0,11,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|이지차저|,0,5,없음
A10025533,0,0,미설치,설치,0,10,입주민전용,,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|DC콤보 7핀|완속|11|지차저|,0,11,있음
A10025562,706,23,미설치,설치,0,22,,입주민전용,,24시 1분,,24시 1분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|22|파워큐브코리아|,0,22,없음
A10025564,219,0,미설치,설치,0,5,,외부인허용,시 분,23시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|이브이시스(주)|,0,5,있음
