시도	시군구	동리	단지코드	단지명	단지분류	법정동주소	도로명주소	분양형태	사용승인일	동수	세대수	분양세대수	임대세대수	관리방식	난방방식	복도유형	시공사	주택관리업자
서울특별시	중랑구	망우동	A13176102	중랑해모로	아파트	서울특별시 중랑구 망우동 578 중랑해모로	서울특별시 중랑구 양원역로6가길 19	분양	20070516	3	174	174	0	위탁관리	개별난방	계단식	(주) 한진중공업	주식회사 동우개발
서울특별시	중랑구	묵동	A13176801	묵동극동늘푸른아파트	아파트	서울특별시 중랑구 묵동 379 묵동극동늘푸른아파트	서울특별시 중랑구 동일로 941	분양	19990401	2	188	188	0	위탁관리	개별난방	혼합식	(주)극동건설	(주)동우개발
서울특별시	중랑구	신내동	A13176901	신내6단지	아파트	서울특별시 중랑구 신내동 650 신내6단지	서울특별시 중랑구 신내로19길 42	분양	19960313	16	1609	1609	0	위탁관리	지역난방	복도식	대주건설	한국주택시설관리(주)
서울특별시	중랑구	신내동	A13176902	신내9단지임대	아파트	서울특별시 중랑구 신내동 657 신내9단지임대	서울특별시 중랑구 신내로 127	임대	19960621	2	335	0	335	위탁관리	지역난방	복도식	진흥기업(주)	삼정알엠씨(주)
서울특별시	중랑구	면목동	A13177701	면목	아파트	서울특별시 중랑구 면목동 1382 면목	서울특별시 중랑구 용마산로 228	임대	19911014	4	905	0	905	위탁관리	개별난방	계단식	SH공사	(주)대한주택개발
서울특별시	중랑구	면목동	A13177702	면목두원	아파트	서울특별시 중랑구 면목동 1521 면목두원	서울특별시 중랑구 동일로 483	분양	19981125	1	118	118	0	자치관리	개별난방	계단식	두원중공업(주)	 
서울특별시	중랑구	신내동	A13178101	신내데시앙	아파트	서울특별시 중랑구 신내동 317 신내데시앙	서울특별시 중랑구 용마산로 669	혼합	20100108	15	1326	359	967	위탁관리	지역난방	혼합식	태영건설	(주)푸른환경코리아
서울특별시	중랑구	면목동	A13181201	면목신성미소지움	아파트	서울특별시 중랑구 면목동 1527 면목신성미소지움	서울특별시 중랑구 용마산로86길 9-27	분양	20041112	2	161	161	0	위탁관리	개별난방	계단식	신성건설	(주)신대한관리
서울특별시	중랑구	면목동	A13181203	용마금호타운	아파트	서울특별시 중랑구 면목동 494 용마금호타운	서울특별시 중랑구 용마산로 348	분양	19921223	5	440	440	0	위탁관리	개별난방	계단식	금호건설	서림주택관리주식회사
서울특별시	중랑구	면목동	A13183202	용마한신2차아파트	아파트	서울특별시 중랑구 면목동 1073 용마한신2차아파트	서울특별시 중랑구 사가정로71길 11	분양	19980529	1	174	174	0	위탁관리	개별난방	혼합식	한신공영	(주)신현대관리
서울특별시	중랑구	면목동	A13183204	용마한신	아파트	서울특별시 중랑구 면목동 1077-1 용마한신	서울특별시 중랑구 사가정로71길 19	분양	19900628	4	565	565	0	자치관리	개별난방	혼합식	한신공영	 
서울특별시	중랑구	면목동	A13183303	용마동아아파트	아파트	서울특별시 중랑구 면목동 1499 용마동아아파트	서울특별시 중랑구 용마산로62길 43	분양	19930318	2	174	174	0	위탁관리	개별난방	계단식	공영토건	(주)동우개발
서울특별시	중랑구	면목동	A13183405	면목대원칸타빌	아파트	서울특별시 중랑구 면목동 581 면목대원칸타빌	서울특별시 중랑구 용마산로 285	분양	20030401	4	256	256	0	위탁관리	개별난방	계단식	(주)대원	서일개발(주)
서울특별시	중랑구	면목동	A13183502	면목삼익	아파트	서울특별시 중랑구 면목동 1516 면목삼익	서울특별시 중랑구 동일로 501	분양	19971220	3	216	216	0	위탁관리	개별난방	계단식	삼익주택	(주)동우개발
서울특별시	중랑구	면목동	A13183504	면목늘푸른동아아파트	아파트	서울특별시 중랑구 면목동 715 면목늘푸른동아아파트	서울특별시 중랑구 동일로 476	분양	20021130	4	573	573	0	위탁관리	개별난방	혼합식	동아건설산업(주)	유원종합관리(주)
서울특별시	중랑구	면목동	A13183701	아남리치카운티	아파트	서울특별시 중랑구 면목동 1505 아남리치카운티	서울특별시 중랑구 겸재로29길 27	분양	20041210	5	178	178	0	위탁관리	개별난방	계단식	아남건설	주식회사 씨엠관리
서울특별시	중랑구	면목동	A13184107	"면목두산4,5단지"	아파트	"서울특별시 중랑구 면목동 1522,서울특별시 중랑구 면목동 1522-1 면목두산4,5단지"	서울특별시 중랑구 사가정로42길 90	분양	20000927	7	555	555	0	위탁관리	개별난방	혼합식	(주)두산	서일개발(주)
서울특별시	중랑구	면목동	A13184208	면목현대	아파트	서울특별시 중랑구 면목동 1502 면목현대	서울특별시 중랑구 용마산로 252	분양	19940929	4	626	626	0	위탁관리	개별난방	계단식	(주)현대산업개발	(주)신현대관리
서울특별시	중랑구	면목동	A13184301	면목신성은하수	아파트	서울특별시 중랑구 면목동 1519 면목신성은하수	서울특별시 중랑구 중랑천로 43	분양	19981031	2	266	266	0	위탁관리	개별난방	혼합식	신성	세화종합관리(주)
서울특별시	중랑구	면목동	A13184401	면목삼호	아파트	서울특별시 중랑구 면목동 1513 면목삼호	서울특별시 중랑구 용마산로 259	분양	20000527	1	183	183	0	위탁관리	개별난방	혼합식	(주)삼호	(주)동우개발
서울특별시	중랑구	면목동	A13184502	면목성원	아파트	서울특별시 중랑구 면목동 1515 면목성원	서울특별시 중랑구 용마산로 278	분양	19970613	2	168	168	0	위탁관리	개별난방	혼합식	성원건설(주)	주식회사 씨엠관리
서울특별시	중랑구	묵동	A13184609	신내4단지	아파트	서울특별시 중랑구 묵동 13 신내4단지	서울특별시 중랑구 숙선옹주로 91	분양	19960614	12	1070	1070	0	위탁관리	지역난방	복도식	SH공사	세화종합관리(주)
서울특별시	중랑구	묵동	A13184610	신내5단지대림두산	아파트	서울특별시 중랑구 묵동 20 신내5단지대림두산	서울특별시 중랑구 신내로21길 16	분양	19951204	28	1244	1244	0	자치관리	지역난방	계단식	대림두산건설	자치관리
서울특별시	중랑구	묵동	A13184804	묵동신도1차	아파트	서울특별시 중랑구 묵동 167 묵동신도1차	서울특별시 중랑구 공릉로13길 30	분양	19981015	2	221	221	0	위탁관리	개별난방	혼합식	신도종합건설	율산개발주식회사
서울특별시	중랑구	묵동	A13185402	묵동한국	아파트	서울특별시 중랑구 묵동 378 묵동한국	서울특별시 중랑구 중랑천로 332	분양	19990603	2	225	225	0	위탁관리	개별난방	혼합식	한국종건	주)무림하우징
서울특별시	중랑구	묵동	A13185501	묵동세방	아파트	서울특별시 중랑구 묵동 383 묵동세방	서울특별시 중랑구 숙선옹주로9길 25	분양	20000703	2	159	159	0	위탁관리	개별난방	혼합식	세방기업(주)	세화종합관리(주)
서울특별시	중랑구	묵동	A13185502	묵동신안2차	아파트	서울특별시 중랑구 묵동 382 묵동신안2차	서울특별시 중랑구 공릉로2나길 46	분양	20000229	1	171	171	0	위탁관리	개별난방	혼합식	신안종합건설(주)	(주)백송종합관리
서울특별시	중랑구	묵동	A13185507	묵동신안1차	아파트	서울특별시 중랑구 묵동 381 묵동신안1차	서울특별시 중랑구 공릉로2라길 15	분양	19991028	2	285	285	0	위탁관리	개별난방	혼합식	신안종합건설	아주관리
서울특별시	중랑구	묵동	A13185508	브라운스톤태릉	아파트	서울특별시 중랑구 묵동 387 브라운스톤태릉	서울특별시 중랑구 공릉로18길 59	분양	20040311	6	587	587	0	위탁관리	개별난방	계단식	이수건설(주)	서림주택관리(주)
서울특별시	중랑구	상봉동	A13185602	상봉우정	아파트	서울특별시 중랑구 상봉동 496 상봉우정	서울특별시 중랑구 상봉중앙로1다길 21	분양	20020514	5	375	375	0	위탁관리	개별난방	계단식	우정건설(주)	(주)한빛관리
서울특별시	중랑구	상봉동	A13185603	신내건영1차	아파트	서울특별시 중랑구 상봉동 1 신내건영1차	서울특별시 중랑구 봉화산로48길 62	분양	19970813	4	408	408	0	위탁관리	개별난방	계단식	(주) 건영	(주)한빛관리
서울특별시	중랑구	상봉동	A13185607	신내건영2차아파트	아파트	"서울특별시 중랑구 상봉동 63,서울특별시 중랑구 신내동 785 신내건영2차아파트"	서울특별시 중랑구 신내로7길 20	분양	19961104	14	1113	1113	0	위탁관리	개별난방	혼합식	건영	(주)신현대관리
서울특별시	중랑구	상봉동	A13186305	신내엘지쌍용	아파트	서울특별시 중랑구 상봉동 484 신내엘지쌍용	"서울특별시 중랑구 봉화산로 146,서울특별시 중랑구 봉화산로 130"	분양	19960327	9	514	514	0	위탁관리	지역난방	혼합식	"LG건설(주), 쌍용건설(주)"	에이제이대원 주식회사
서울특별시	중랑구	상봉동	A13186306	신내12단지	아파트	서울특별시 중랑구 상봉동 481 신내12단지	서울특별시 중랑구 봉화산로 153	임대	19951127	8	1000	0	1000	위탁관리	지역난방	복도식	삼환기업	주식회사 티아이시스템
서울특별시	중랑구	상봉동	A13186401	동부아파트	아파트	서울특별시 중랑구 상봉동 495 동부아파트	서울특별시 중랑구 신내로7가길 31	분양	19990429	2	368	368	0	위탁관리	개별난방	혼합식	동부건설	우진관리주식회사
서울특별시	중랑구	신내동	A13186502	신내우남푸르미아	아파트	서울특별시 중랑구 신내동 802 신내우남푸르미아	서울특별시 중랑구 봉화산로56길 51	분양	20050404	3	153	153	0	위탁관리	개별난방	계단식	(주)우남건설	국제안전시스템
서울특별시	중랑구	신내동	A13186503	신내석탑	아파트	서울특별시 중랑구 신내동 787 신내석탑	서울특별시 중랑구 용마산로125길 92	분양	19970131	2	242	242	0	위탁관리	개별난방	혼합식	석탑건설	서일개발(주)
서울특별시	중랑구	신내동	A13186504	신내영풍마드레빌	아파트	서울특별시 중랑구 신내동 801 신내영풍마드레빌	서울특별시 중랑구 용마산로129가길 41	분양	20040213	5	260	260	0	위탁관리	개별난방	계단식	영풍건설	한국주택시설관리(주)
서울특별시	중랑구	신내동	A13186708	"신내동성1,2차"	아파트	"서울특별시 중랑구 신내동 397 신내동성1,2차"	서울특별시 중랑구 신내로 128	분양	19930205	9	1047	1047	0	위탁관리	지역난방	혼합식	(주)동성	(주)신현대관리
서울특별시	중랑구	신내동	A13186801	신내다우훼밀리	아파트	서울특별시 중랑구 신내동 796 신내다우훼밀리	서울특별시 중랑구 송림길 16	분양	19990129	1	152	152	0	위탁관리	개별난방	혼합식	다우종합건설	광인산업
서울특별시	중랑구	신내동	A13186905	라이프미성	아파트	서울특별시 중랑구 신내동 487 라이프미성	서울특별시 중랑구 용마산로129나길 101	분양	19920424	2	277	277	0	위탁관리	개별난방	복도식	라이프건설	우진관리(주)
서울특별시	중랑구	신내동	A13186907	중앙하이츠	아파트	서울특별시 중랑구 신내동 479 중앙하이츠	서울특별시 중랑구 봉화산로56길 145-1	분양	19960328	5	704	704	0	위탁관리	개별난방	계단식	중앙건설(주)	주식회사 동우개발
서울특별시	중랑구	신내동	A13187004	신내성원	아파트	서울특별시 중랑구 신내동 783 신내성원	서울특별시 중랑구 신내로 51	분양	19940929	5	876	876	0	위탁관리	개별난방	계단식	성원건설	서일개발
서울특별시	중랑구	신내동	A13187201	신내8단지두산화성	아파트	서울특별시 중랑구 신내동 656 신내8단지두산화성	서울특별시 중랑구 신내로 155	분양	19951222	8	763	763	0	위탁관리	지역난방	혼합식	"두산건설,화성산업"	한국주택시설관리(주)
서울특별시	중랑구	신내동	A13187203	신내진로아파트	아파트	서울특별시 중랑구 신내동 654 신내진로아파트	"서울특별시 중랑구 신내로17길 41,서울특별시 중랑구 신내로17길 39"	분양	19951206	17	818	818	0	위탁관리	지역난방	계단식	진로	한국주택시설관리(주)
서울특별시	중랑구	신내동	A13187302	신내대명11단지	아파트	서울특별시 중랑구 신내동 661 신내대명11단지	서울특별시 중랑구 봉화산로 193	분양	19960313	6	804	804	0	위탁관리	지역난방	복도식	대명건설	서일개발(주)
서울특별시	중랑구	신내동	A13187305	신내9단지	아파트	서울특별시 중랑구 신내동 657 신내9단지	서울특별시 중랑구 신내로 127	분양	19960621	10	1315	1315	0	위탁관리	지역난방	복도식	진흥	율산개발 유한회사
서울특별시	중랑구	신내동	A13187306	신내10단지	아파트	서울특별시 중랑구 신내동 660 신내10단지	서울특별시 중랑구 신내로 115	임대	19960311	8	1432	0	1432	위탁관리	지역난방	복도식	(주)건영	(주)다보산업관리
서울특별시	중랑구	신내동	A13187406	신내새한아파트	아파트	서울특별시 중랑구 신내동 795 신내새한아파트	서울특별시 중랑구 용마산로 616	분양	19981127	6	532	532	0	위탁관리	개별난방	혼합식	새한건설(주)	(주)신현대관리
서울특별시	중랑구	중화동	A13187501	중화극동	아파트	서울특별시 중랑구 중화동 19 중화극동	서울특별시 중랑구 봉화산로27길 32	분양	19910429	1	156	156	0	위탁관리	개별난방	혼합식	극동건설	신현대관리
서울특별시	중랑구	중화동	A13187702	중화한신아파트	아파트	서울특별시 중랑구 중화동 450 중화한신아파트	서울특별시 중랑구 동일로 752	분양	19971011	9	1544	1544	0	위탁관리	개별난방	혼합식	한신공영	인덕종합관리(주)
서울특별시	중랑구	면목동	A13188406	면목두산2.3차	아파트	"서울특별시 중랑구 면목동 1511,서울특별시 중랑구 면목동 1510 면목두산2.3차"	"서울특별시 중랑구 면목로37길 58,서울특별시 중랑구 면목로37길 57"	분양	19950403	4	344	344	0	위탁관리	개별난방	혼합식	두산개발주식회사	(주)신현대관리
