시군구,동리,단지코드,단지명,단지분류,도로명주소,분양형태,사용승인일,동수,세대수,분양세대수,임대세대수,관리방식,난방방식,복도유형
노원구,상계동,A13920205,상계한일유엔아이,아파트,서울특별시 노원구 노원로28길 62,분양,20050203,5,305,305,0,위탁관리,개별난방,계단식
강서구,염창동,A10024436,센터스퀘어등촌,주상복합,서울특별시 강서구 공항대로 543,임대,20201230,1,500,0,500,위탁관리,개별난방,복도식
구로구,오류동,A15210107,오류동부골든,아파트,서울특별시 구로구 고척로 49,분양,19981203,9,932,932,0,위탁관리,개별난방,혼합식
종로구,내수동,A11007001,경희궁의아침3단지,주상복합,서울특별시 종로구 사직로8길 34,분양,20040517,1,150,150,0,위탁관리,개별난방,계단식
서초구,서초동,A13770607,서초5차e편한세상,아파트,서울특별시 서초구 명달로4길 30,분양,20051223,2,161,161,0,위탁관리,개별난방,계단식
노원구,하계동,A13923106,하계2차현대아파트,아파트,서울특별시 노원구 노원로18길 19,분양,19970731,12,730,730,0,위탁관리,지역난방,혼합식
노원구,중계동,A13985909,중계주공2단지,아파트,서울특별시 노원구 한글비석로14길 8,분양,19920626,10,1800,1800,0,위탁관리,개별난방,복도식
구로구,구로동,A15285804,구로중앙하이츠아파트,아파트,서울특별시 구로구 구로동로47길 24,분양,20010920,5,597,597,0,위탁관리,개별난방,계단식
동작구,상도동,A15683601,상도1동대림,아파트,서울특별시 동작구 상도로60길 20,분양,19951204,3,279,279,0,위탁관리,개별난방,복도식
양천구,목동,A15805114,목동현대하이페리온,주상복합,서울특별시 양천구 목동동로 257,분양,20030721,2,466,466,0,위탁관리,지역난방,혼합식
중랑구,묵동,A10023815,로프트원 태릉입구역,도시형 생활주택(주상복합),서울특별시 중랑구 동일로 952,임대,20200108,1,249,0,249,위탁관리,개별난방+기타,복도식
강동구,고덕동,A10024562,고덕센트럴푸르지오,주상복합,서울특별시 강동구 고덕로 399,혼합,20200820,4,656,514,142,위탁관리,지역난방,혼합식
서초구,서초동,A10024574,서초센트럴아이파크,주상복합,서울특별시 서초구 반포대로18길 36,분양,20200907,2,318,318,0,위탁관리,개별난방,계단식
영등포구,신길동,A10024615,힐스테이트클래시안아파트,아파트,서울특별시 영등포구 신길로28길 9,혼합,20201229,14,1476,1210,266,위탁관리,개별난방,혼합식
용산구,한강로3가,A10024691,용산센트럴파크,주상복합,서울특별시 용산구 서빙고로 17,혼합,20200820,5,1140,946,194,위탁관리,지역난방,혼합식
영등포구,당산동5가,A10024789,당산센트럴아이파크,아파트,서울특별시 영등포구 영신로 247,혼합,20200428,7,802,715,87,위탁관리,개별난방,혼합식
구로구,항동,A10024849,구로항동우남퍼스트빌,아파트,서울특별시 구로구 항동로 8,분양,20200603,5,337,337,0,위탁관리,지역난방,계단식
