단지코드,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,청소관리-계약업체,음식물 처리방법,소독관리-관리방식,소독관리-계약업체
A10020550,자치관리(직영),4,자치관리(직영),,,자치관리(직영),1,,음식물쓰레기종량제,위탁관리,xxx
A10020888,위탁관리,2,위탁관리,,(주)동우개발,위탁관리,2,(주)동우개발,음식물쓰레기종량제,위탁관리,태은환경
A10023322,위탁관리,1,위탁관리,2,(주)성우알티에스,위탁관리,1,,차량수거방식,위탁관리,
A10023788,위탁관리,4,자치관리(직영),2,,자치관리(직영),3,,차량수거방식,위탁관리,대양디아이
A10023815,위탁관리,3,위탁관리,2,(주)크린서비스,위탁관리,2,,음식물쓰레기종량제,위탁관리,
A10023891,위탁관리,7,위탁관리,4,웅산개발(주),위탁관리,7,서일개발(주),차량수거방식,위탁관리,비엔비클린
A10024034,자치관리,4,자치관리,2,,자치관리,3,,음식물쓰레기종량제,위탁관리,굿모닝환경
A10024237,위탁관리,2,위탁관리,2,(주)혜진종합관리,위탁관리,1,,음식물쓰레기종량제,위탁관리,
A10024327,자치관리,1,자치관리(직영),2,,자치관리,1,,음식물쓰레기종량제,자치관리,
A10024359,위탁관리,4,,,,위탁관리,3,,기타,위탁관리,
A10024398,위탁관리,15,위탁관리,11,에스원,위탁관리,16,(주)피누스이앤씨,거점장비수거방식,위탁관리,에이원한강
A10024408,위탁관리,5,위탁관리,2,(주)승학,위탁관리,5,(주)승학,거점장비수거방식,위탁관리,성산산업개발㈜
A10024410,위탁관리,5,위탁관리,2,(주)서호씨엠,위탁관리,2,(주)서호씨엠,차량수거방식,위탁관리,주식회사 서호씨엠
A10024421,위탁관리,8,위탁관리,6,대온관리,위탁관리,8,대온관리,음식물쓰레기종량제,위탁관리,굿에어테크
A10024422,위탁관리,8,위탁관리,6,(주)신현대관리,위탁관리,8,(주)국보종합관리,거점장비수거방식,위탁관리,지산아이앤씨
A10024436,위탁관리,7,위탁관리,2,우리자산관리(주),위탁관리,5,우리자산관리(주),음식물쓰레기종량제,위탁관리,굿에어테크
A10024443,위탁관리,4,위탁관리,2,(주)에스원,위탁관리,2,(주)참우리,음식물쓰레기종량제,위탁관리,굿에어테크
A10024463,위탁관리,1,자치관리(직영),2,(주)듀델코리아,자치관리(직영),1,,거점장비수거방식,위탁관리,
A10024464,위탁관리,3,위탁관리,0,,위탁관리,4,,음식물쓰레기종량제,위탁관리,
A10024468,위탁관리,12,위탁관리,7,에스원,위탁관리,12,에이제이대원,음식물쓰레기종량제,위탁관리,지산아이앤씨
A10024470,위탁관리,7,위탁관리,5,(주)유케이개발,위탁관리,7,,차량수거방식,위탁관리,
A10024473,위탁관리,16,위탁관리,12,(주)에스원,위탁관리,27,(주)듀델코리아,거점장비수거방식,위탁관리,태양지엔씨
A10024488,위탁관리,13,위탁관리,7,주식회사 에스원,위탁관리,20,㈜피누스이앤씨,음식물쓰레기종량제,위탁관리,㈜와이브이시스템
A10024490,위탁관리,5,관리방식미정,0,,위탁관리,3,주식회사 크라운티엠에스,차량수거방식,위탁관리,(주)시스템 
A10024492,위탁관리,6,위탁관리,4,(주)청담관리,위탁관리,5,(주)청담관리,음식물쓰레기종량제,위탁관리,나라개발시스템주식회사
A10024495,위탁관리,4,위탁관리,2,(주)세연종합관리,위탁관리,3,(주)세연종합관리,거점장비수거방식,위탁관리,(주)성산산업개발
A10024501,위탁관리,5,위탁관리,2,,위탁관리,4,,음식물쓰레기종량제,위탁관리,
A10024503,위탁관리,24,위탁관리,18,(주)타워피엠씨,위탁관리,13,(주)타워피엠씨,차량수거방식,위탁관리,성우서비스
A10024505,위탁관리,6,위탁관리,3,(주)듀델코리아,위탁관리,4,,거점장비수거방식,위탁관리,더자람
A10024524,위탁관리,4,관리방식미정,0,,위탁관리,1,(주)세안텍스,음식물쓰레기종량제,위탁관리,(주)세안텍스
A10024532,위탁관리,5,위탁관리,2,(주)세연종합관리,위탁관리(직영+위탁),2,(주)이오티앤디,거점장비수거방식,위탁관리,(주)동명환경
A10024547,위탁관리,9,위탁관리,7,에스원,위탁관리,13,승인산업,차량수거방식,위탁관리,(주)태은환경
A10024552,위탁관리,15,위탁관리,12,(주)에스텍시스템,위탁관리,17,(주)듀델코리아,거점장비수거방식,위탁관리,세영에이앤씨(주)
A10024562,위탁관리,7,위탁관리,3,주식회사 에이디티 캡스,위탁관리,6,동성자산관리(주),음식물쓰레기종량제,위탁관리,(주)굿에어테크
A10024564,위탁관리,23,위탁관리,25,에스텍시스템,위탁관리,39,삼우서비스(주_),거점장비수거방식,위탁관리,에이스나무병원
A10024567,위탁관리,9,위탁관리,4,(주)유케이개발,위탁관리,8,,거점장비수거방식,위탁관리,
A10024574,위탁관리,10,위탁관리,6,홈스웰,위탁관리,10,홈스웰,차량수거방식,위탁관리,블루써브
A10024577,위탁관리,6,위탁관리,5,(주)이엠피서비스,위탁관리,6,삼우안전관리,음식물쓰레기종량제,위탁관리,(주)굿에어테크
A10024615,위탁관리,13,위탁관리,10,SK쉴더스(주),위탁관리,15,,차량수거방식,위탁관리,
A10024667,위탁관리,2,위탁관리,2,...,위탁관리,2,,차량수거방식,위탁관리,
A10024691,위탁관리,16,위탁관리,24,(주)에스원,위탁관리,20,(주)밝은티에스,거점장비수거방식,위탁관리,지산아이앤씨
A10024703,위탁관리,5,위탁관리,5,에스원,위탁관리,6,이데아그룹,음식물쓰레기종량제,위탁관리,태은환경
A10024719,위탁관리,22,위탁관리,10,(주)에스원,위탁관리,14,태영건물종합관리,거점장비수거방식,위탁관리,(주)굿에어테크
A10024725,위탁관리,7,위탁관리,6,(주)씨큐원,위탁관리,11,(주)이엠피서비스,음식물쓰레기종량제,위탁관리,(유)우원티엠
A10024741,위탁관리,11,위탁관리,11,(주)에이디티캡스,위탁관리,17,,음식물쓰레기종량제,위탁관리,
A10024745,위탁관리,10,위탁관리,6,새롬시큐리티(주),위탁관리,12,,차량수거방식,위탁관리,
A10024768,위탁관리,4,관리방식미정,0,,위탁관리,2,주식회사 주나,음식물쓰레기종량제,위탁관리,주식회사 쾌청
A10024787,위탁관리,11,위탁관리,13,주식회사 에스원,위탁관리,13,주식회사 라포프,거점장비수거방식,위탁관리,(주)한빛티에스
A10024789,위탁관리,10,위탁관리,6,듀델코리아,위탁관리,10,라포르,음식물쓰레기종량제,위탁관리,지산아이엔씨
A10024793,위탁관리,2,위탁관리,4,웅산산업개발,위탁관리,1,태경종합관리(주),음식물쓰레기종량제,위탁관리,에이스시설관리(주)
A10024811,위탁관리,2,위탁관리,2,국보종합관리,자치관리,1,,차량수거방식,위탁관리,국보종합관리
A10024822,자치관리,1,자치관리,2,,자치관리,1,,음식물쓰레기종량제,위탁관리,
A10024828,위탁관리(직영+위탁),10,위탁관리,8,에스원,위탁관리,14,(주)에이치엠씨,거점장비수거방식,위탁관리,(주)피누스이엔씨
A10024831,위탁관리,17,위탁관리,16,(주)에스원,위탁관리,28,(주)라포르,음식물쓰레기종량제,위탁관리,(주)굿에어테크
A10024849,위탁관리,5,위탁관리,2,혜진종합관리,위탁관리,3,(주)홈스웰,음식물쓰레기종량제,위탁관리,대양디아이(주)
A10024886,위탁관리,5,관리방식미정,0,,자치관리,1,,음식물쓰레기종량제,위탁관리,국보종합관리
A10024891,위탁관리,9,위탁관리,7,크린서비스(주),위탁관리,7,크린서비스(주),음식물쓰레기종량제,위탁관리,(주)다인서비스
A10024894,위탁관리,6,위탁관리,4,(주)두원에이앤씨,위탁관리,6,(주)듀델코리아,차량수거방식,위탁관리,(주)와이브이시스템
A10024913,위탁관리,9,위탁관리,8,(주)에스원,위탁관리,9,(주)지엔비,거점장비수거방식,위탁관리,동부이엔피
A10024925,위탁관리,8,위탁관리,4,(주)홈스웰,위탁관리,7,(주)홈스웰,거점장비수거방식,위탁관리,(주)지산아이엔씨
A10024927,위탁관리,5,위탁관리,3,그린코리아주식회사,위탁관리,4,그린코리아주식회사,거점장비수거방식,위탁관리,(주)굿에어테크
A10024932,위탁관리,5,위탁관리,3,(주)SK쉴더스,위탁관리,5,이오티앤디,거점장비수거방식,위탁관리,(유)미래환경
A10024938,위탁관리,11,위탁관리,9,(주)에스원,위탁관리,11,(주)홈스웰,거점장비수거방식,위탁관리,(주)동진엠엔에스
A10024947,위탁관리,8,위탁관리,5,에스원,위탁관리,9,(주)홈스웰,차량수거방식,위탁관리,(주)한영방재
A10024966,위탁관리,7,위탁관리,2,,위탁관리,5,,음식물쓰레기종량제,관리방식미정,
A10024974,위탁관리,10,위탁관리,7,(주)에스원,위탁관리,17,승인산업(주),음식물쓰레기종량제,위탁관리,(주)와이브이시스템즈
A10025003,위탁관리,23,위탁관리,9,에스원(주),위탁관리,17,(주)라포르,음식물쓰레기종량제,위탁관리,(주)굿에어테크
A10025010,위탁관리,43,위탁관리,25,세이프원,위탁관리,55,신화비엠씨,거점장비수거방식,위탁관리,다인서비스
A10025013,위탁관리,9,위탁관리,6,주식회사 에스원,위탁관리,13,(주)효명종합관리,음식물쓰레기종량제,위탁관리,(주)태양씨에스
A10025015,위탁관리,4,위탁관리,4,(주)태영,위탁관리,4,(유)화이트시스템,차량수거방식,위탁관리,(주)성우서비스
A10025024,위탁관리,9,위탁관리,9,(주)듀델코리아,위탁관리,10,(주)라포르,음식물쓰레기종량제,위탁관리,(주)새롬에스앤씨
A10025070,위탁관리,12,위탁관리,12,(주)에스원,위탁관리,20,(주)피누스이앤씨,음식물쓰레기종량제,위탁관리,(주)동진엠엔에스
A10025092,위탁관리,11,위탁관리,10,한국보안컨설팅(주),위탁관리,15,효명종합관리,음식물쓰레기종량제,위탁관리,에이스나무병원(주)
A10025097,위탁관리,7,위탁관리,6,에스원,위탁관리,12,주식회사 다우시스템,거점장비수거방식,위탁관리,태은환경
A10025104,위탁관리,15,위탁관리,9,(주)에스원,위탁관리,21,(주)두원에이앤씨,음식물쓰레기종량제,위탁관리,(주)한영방제
A10025112,위탁관리,22,위탁관리,13,(주)에스텍시스템,위탁관리,25,(주)라포르,음식물쓰레기종량제,위탁관리,(주)동진엠엔에스
A10025115,위탁관리,5,위탁관리,4,승학(주),위탁관리,4,주)시티관리,음식물쓰레기종량제,위탁관리,주)그린피아한성
A10025116,위탁관리,6,위탁관리,4,(주)듀델코리아,위탁관리,4,(주)듀델코리아,음식물쓰레기종량제,위탁관리,(주)휘성
A10025122,위탁관리,8,위탁관리,2,(주)듀델코리아,위탁관리,2,,거점장비수거방식,위탁관리,
A10025130,위탁관리,10,위탁관리,8,(주)이엠피서비스,위탁관리,12,삼우서비스,차량수거방식,위탁관리,(주)한영방제
A10025133,위탁관리,7,위탁관리,7,(주)에스텍시스템,위탁관리,9,,거점장비수거방식,위탁관리,
A10025137,위탁관리(직영+위탁),3,위탁관리(직영+위탁),2,태영건물종합관리주식회사,위탁관리(직영+위탁),1,태영건물종합관리주식회사,차량수거방식,위탁관리,굿에어테크
A10025157,위탁관리,2,위탁관리,2,(주)무림하우징,위탁관리,1,믿음환경,음식물쓰레기종량제,위탁관리,(주)우양)
A10025159,위탁관리,5,위탁관리,4,주식회사 에스원,위탁관리,6,진성관리,음식물쓰레기종량제,위탁관리,굿에어테크
A10025166,위탁관리,6,위탁관리,4,(주)듀델코리아,위탁관리,5,듀델,거점장비수거방식,위탁관리,태강티엠에스
A10025174,위탁관리,6,위탁관리,3,세원종합관리,위탁관리,5,,차량수거방식,위탁관리,
A10025192,위탁관리,24,위탁관리,22,(주)에스텍,위탁관리,28,태진자산관리(주),거점장비수거방식,위탁관리,(주)태양씨에스
A10025193,위탁관리,6,위탁관리,4,혜진종합관리,위탁관리,8,(주)대원,음식물쓰레기종량제,위탁관리,(주)동진엠엔에스
A10025203,위탁관리,16,위탁관리,14,(주)세이프원,위탁관리,22,(주)타워피엠씨,차량수거방식,위탁관리,(주)다인서비스
A10025223,자치관리,5,자치관리,2,,자치관리,2,,음식물쓰레기종량제,위탁관리,
A10025241,위탁관리,10,위탁관리,8,(주)에스원,위탁관리,14,(주)아이원서비스,기타,위탁관리,(주)청정티엠에스
A10025245,위탁관리,12,위탁관리,11,주식회사인동,위탁관리,15,주원그린,차량수거방식,위탁관리,청정티엠스
A10025259,위탁관리,5,위탁관리,2,듀델코리아,위탁관리,3,우리관리(주),차량수거방식,위탁관리,(주)유니탑
A10025263,위탁관리,35,위탁관리,34,탄천산업,위탁관리,58,승인산업,음식물쓰레기종량제,위탁관리(직영+위탁),삼우서비스
A10025283,위탁관리,9,위탁관리,9,(주)새롬종합관리,위탁관리,12,(주)유케이개발,차량수거방식,위탁관리,(주)TH서비스
A10025302,위탁관리,4,위탁관리,2,(주)에스제이종합,위탁관리,2,나라개발시스템(주),음식물쓰레기종량제,위탁관리,(주)휘성
A10025310,위탁관리,11,위탁관리,5,에스원,위탁관리,16,세연종합관리,차량수거방식,위탁관리,지산이엔씨
A10025372,위탁관리,3,위탁관리,2,듀델(주),위탁관리,2,(주)듀델,음식물쓰레기종량제,위탁관리,(주)휘성
A10025375,위탁관리,3,위탁관리,0,,위탁관리,1,(주)아이비에스인더스트리,음식물쓰레기종량제,위탁관리,제이마스터(주)
A10025386,위탁관리,3,위탁관리,2,(주)진성관리,위탁관리,2,(주)진성관리,음식물쓰레기종량제,관리방식미정,
A10025387,위탁관리,6,위탁관리,4,(주)에스제이종합,위탁관리,5,(주)에스제이종합,음식물쓰레기종량제,위탁관리,(주)휘성
A10025397,위탁관리,3,위탁관리,2,(주)에스제이종합,위탁관리,2,,음식물쓰레기종량제,위탁관리,
A10025404,위탁관리,2,위탁관리,2,상우,관리방식미정,1,,차량수거방식,위탁관리,한빛
A10025410,위탁관리,10,위탁관리,6,에스원,위탁관리,13,주원그린,음식물쓰레기종량제,위탁관리,태양지엔씨
A10025415,위탁관리,16,위탁관리,15,(주)에스원,위탁관리,22,한국주택시설관리(주),음식물쓰레기종량제,위탁관리,와이브이시스템
A10025418,위탁관리,16,위탁관리,9,타워PMC,위탁관리,7,새롬에스앤씨,거점장비수거방식,위탁관리,다인서비스
A10025428,위탁관리,3,위탁관리,2,(주)두원에이앤씨,위탁관리,3,(주)두언에이앤씨,음식물쓰레기종량제,위탁관리,(주)굿모닝대양
A10025456,위탁관리,5,위탁관리,3,주식회사 에이치엔서브,위탁관리,5,에이치엔서브,음식물쓰레기종량제,위탁관리,동부이앤피
A10025461,위탁관리,9,위탁관리,5,태영건물종합관리(주),위탁관리,11,(주)피누스이앤씨,음식물쓰레기종량제,위탁관리,(주)더 자람
A10025527,위탁관리,3,위탁관리,2,(주)진성관리,위탁관리,2,에이스시설관리,차량수거방식,자치관리(직영),
A10025533,위탁관리,6,위탁관리,6,(주)한영파트너스,위탁관리,6,(주)효명종합관리,기타,위탁관리,(주)청정티엠에스
A10025562,위탁관리,6,위탁관리,6,(주)우창개발,위탁관리,7,(주)우창개발,거점장비수거방식,위탁관리,(주)청정티엠에스
A10025564,위탁관리,3,위탁관리,2,진성관리,위탁관리,2,진성관리,음식물쓰레기종량제,관리방식미정,
A10025600,위탁관리,5,관리방식미정,4,,관리방식미정,6,,음식물쓰레기종량제,위탁관리,티엔크린
A10025614,위탁관리,9,위탁관리,7,(주)에스제이종합,위탁관리,10,(주)에스제애ㅣ종합,음식물쓰레기종량제,위탁관리,대진에스컴(주)
A10025633,위탁관리,4,위탁관리,2,광인에스테이트서비수(주),위탁관리,3,광인에스테이트서비스(주),거점장비수거방식,위탁관리,대청그린웍스
A10025638,위탁관리,16,위탁관리,12,ADT캡스,위탁관리,25,태영종합관리,차량수거방식,위탁관리,굿에어테크
A10025649,위탁관리,5,위탁관리,2,진성관리(주),위탁관리,3,진성관리,차량수거방식,위탁관리,(주)동진엠엔에스
A10025657,위탁관리,4,위탁관리,2,(유)원광,위탁관리,4,(유)원광,기타,위탁관리,태인이엔지
A10025659,위탁관리,5,위탁관리,4,(주)에스원,위탁관리,4,(주)청아시스템,음식물쓰레기종량제,위탁관리,(주)한영디앤씨
A10025675,위탁관리,40,위탁관리,19,(주)에스케이쉴더스,위탁관리,27,삼우서비스(주),음식물쓰레기종량제,위탁관리,와이브이시스템
A10025677,위탁관리,5,위탁관리,2,(주)스카이빌,위탁관리,2,(주)스카이빌,차량수거방식,위탁관리,에이스시설관리(주)
A10025683,위탁관리,6,위탁관리,6,(주)명원실업,위탁관리,7,(주)명원실업,음식물쓰레기종량제,위탁관리,주식회사 우미종합
A10025710,위탁관리,4,위탁관리,3,성화개발(주),위탁관리,2,성화개발(주),음식물쓰레기종량제,관리방식미정,
A10025729,위탁관리,5,위탁관리,4,이엠피써비스(주),위탁관리,4,선우환경관리주식회사,거점장비수거방식,위탁관리,주식회사 청정티엠에스
A10025753,위탁관리,5,위탁관리,2,주식회사 신현대관리,위탁관리,6,주식회사 신대한관리,차량수거방식,위탁관리,(주)태은환경
A10025754,위탁관리,8,위탁관리,5,에스케이쉴더스(주),위탁관리,9,(유)원광,차량수거방식,위탁관리,와이브이시스템
A10025765,위탁관리,6,위탁관리,4,(주)승학,위탁관리,5,,기타,위탁관리,
A10025767,위탁관리,8,위탁관리,8,듀델코리아,위탁관리,11,듀델코리아,거점장비수거방식,위탁관리,대양디아이
A10025768,위탁관리,13,위탁관리,7,(주)에스원,위탁관리,13,(유)우원티엠,거점장비수거방식,위탁관리,(주)와이브이시스템
A10025770,위탁관리,11,위탁관리,16,에스텍,위탁관리,13,(주)효명종합관리,거점장비수거방식,위탁관리,나라개발시스템
A10025822,위탁관리,5,위탁관리,3,(주)조현시스템,위탁관리,5,(주)청원환경,음식물쓰레기종량제,위탁관리,한영디엔씨
A10025823,위탁관리,16,위탁관리,8,(주)듀델코리아,위탁관리,10,(주)홈스웰,음식물쓰레기종량제,위탁관리,태인이앤지(주)
A10025836,위탁관리,9,위탁관리,5,백송종합관리,위탁관리,10,태은환경,음식물쓰레기종량제,위탁관리,태양씨에스
A10025846,위탁관리,10,위탁관리(직영+위탁),11,(주)상일테크,위탁관리(직영+위탁),15,(주)듀델코리아,음식물쓰레기종량제,위탁관리,(주)와이브이시스템
A10025850,위탁관리,71,위탁관리,70,에스원,위탁관리,109,한강티에스,음식물쓰레기종량제,위탁관리,피누스이앤씨
A10025855,위탁관리,7,위탁관리,6,(주)HMC,위탁관리,9,대신관리,음식물쓰레기종량제,위탁관리,나라개발시스템
A10025858,위탁관리,5,위탁관리,2,인앤인주택관리(주),위탁관리,2,(주)인앤인주택관리,음식물쓰레기종량제,위탁관리,(주)동진엠엔에스
A10025867,위탁관리,6,위탁관리,6,(주)에스원,위탁관리,6,효명종홥관리,차량수거방식,위탁관리,지산아이앤씨
A10025898,위탁관리,8,위탁관리,0,,위탁관리,3,우리관리(주),거점장비수거방식,위탁관리,청정티엠에스(주)
A10025913,자치관리,2,자치관리,2,,위탁관리,1,주나,거점장비수거방식,위탁관리,지앤씨엔바이오
A10025927,위탁관리,6,위탁관리,4,씨큐원,위탁관리,5,듀델코리아,음식물쓰레기종량제,위탁관리,티에이치서비스
A10025946,위탁관리,11,위탁관리,9,밝은티에스,위탁관리,12,(주)한강티에스,음식물쓰레기종량제,위탁관리,칼라즈주식회사
A10025976,위탁관리,10,위탁관리,9,SK쉴더스,위탁관리,15,(주)지앤비,음식물쓰레기종량제,위탁관리,한영디앤씨
A10025985,위탁관리,9,위탁관리,7,주식회사 에스원,위탁관리,13,삼우안전관리(주),음식물쓰레기종량제,위탁관리,(주)에스앤산업
A10026004,위탁관리,7,위탁관리,7,에스케이쉴더스(주),위탁관리,8,,거점장비수거방식,위탁관리,
A10026015,위탁관리,9,위탁관리,10,주식회사 시큐원,위탁관리,10,삼우서비스(주),기타,위탁관리,(주)토우에스이엠
A10026023,위탁관리,5,위탁관리,4,(주)에스원,위탁관리,4,주원그린,음식물쓰레기종량제,위탁관리,태은환경
A10026036,위탁관리,8,위탁관리,8,에스원,위탁관리,12,그린코리아,음식물쓰레기종량제,위탁관리,휘성
A10026039,위탁관리,7,위탁관리,2,원앤원산업개발주식회사,위탁관리,2,(주)원앤원산업개발,거점장비수거방식,위탁관리,(주)동진엠엔에스
A10026051,위탁관리,9,위탁관리,10,시큐원,위탁관리,12,삼우서비스,차량수거방식,위탁관리,다인서비스
A10026053,위탁관리,5,위탁관리,4,SK쉴더스,위탁관리,5,코리아종합관리,음식물쓰레기종량제,위탁관리,태은환경
A10026104,위탁관리,8,위탁관리,6,(주)혜진종합관리,위탁관리,8,(주)태은환경,차량수거방식,위탁관리,(주)휘성
A10026147,위탁관리,4,,,,위탁관리,2,제이마스터 ,차량수거방식,위탁관리,제이마스터 
A10026180,위탁관리,7,위탁관리,5,(주)신화비엠씨,위탁관리,8,(주)신화비엠씨,차량수거방식,위탁관리,나라개발시스템(주)
A10026197,위탁관리,4,위탁관리,2,(주)다보산업관리,위탁관리,2,다보산업관리,음식물쓰레기종량제,위탁관리,서호씨엠
A10026207,위탁관리,10,위탁관리,10,(주)에스원,위탁관리,14,태영그린,차량수거방식,위탁관리,자산INC
A10026227,위탁관리,15,위탁관리,7,(주)에스텍시스템,위탁관리,8,엘림에스(유),음식물쓰레기종량제,위탁관리,(주)토우에스이엠
A10026232,위탁관리,9,위탁관리,9,에스원,위탁관리,13,태강티엠에스,음식물쓰레기종량제,위탁관리,태인이엔지
A10026249,위탁관리,7,위탁관리,6,(주)시큐원,위탁관리,8,세원종합관리,음식물쓰레기종량제,위탁관리,지산아이앤씨
A10026299,위탁관리,7,위탁관리,6,(주)에스원,위탁관리,9,태영건물종합관리(주),음식물쓰레기종량제,위탁관리,와이브이시스템
A10026350,위탁관리,5,위탁관리,7,타워PMC,위탁관리,6,타워PMC,음식물쓰레기종량제,위탁관리,대청그린웍스
A10026362,위탁관리,5,위탁관리,2,(주)한영파트너스 에프에이치,위탁관리,3,서림폴리텍(주),차량수거방식,위탁관리,(주)한빛티에스
A10026370,위탁관리,21,위탁관리,19,(주)에스원,위탁관리,24,삼우서비스 주식회사,거점장비수거방식,위탁관리,(주)지산아이앤씨
A10026376,위탁관리,5,위탁관리,2,집합건물과사람들,위탁관리,3,집합건물과사람들,거점장비수거방식,위탁관리,The자람
A10026403,위탁관리,8,위탁관리,8,(주)에스원,위탁관리,8,(유)우원티엠,음식물쓰레기종량제,위탁관리,(주)다인서비스
A10026411,위탁관리,8,위탁관리,7,에스텍시스템,위탁관리,9,우리관리(주),음식물쓰레기종량제,위탁관리,화성종합관리
A10026414,위탁관리,6,위탁관리,3,이수에이엠씨,위탁관리,4,,기타,관리방식미정,
A10026418,위탁관리,11,위탁관리,12,(주)에스원,위탁관리,12,,음식물쓰레기종량제,위탁관리,
A10026434,위탁관리,7,위탁관리(직영+위탁),4,(유)사랑주택관리,위탁관리(직영+위탁),5,(유)사랑주택관리,거점장비수거방식,위탁관리,(주)동진엠엔에스
A10026469,위탁관리,7,위탁관리,10,자이에스앤디,위탁관리,6,,차량수거방식,위탁관리,
A10026470,위탁관리,7,위탁관리,7,에스원,위탁관리,7,아이원서비스,음식물쓰레기종량제,위탁관리,이수환경
A10026517,위탁관리,3,위탁관리,2,미래M&S,위탁관리,2,미래엠앰에스,음식물쓰레기종량제,위탁관리,(유)굿모닝대양
A10026571,위탁관리,5,위탁관리,4,탄천산업,위탁관리,7,(유)탄천산업,차량수거방식,위탁관리,우원티엠
A10026604,위탁관리,6,위탁관리,6,(주)백송종합관리,위탁관리,5,두원에이앤씨(주),음식물쓰레기종량제,위탁관리,(주)태은환경
A10026626,위탁관리,5,위탁관리,3,(주)듀델코리아,위탁관리,3,(주)듀델코리아,음식물쓰레기종량제,위탁관리,다인서비스
A10026682,위탁관리,15,위탁관리,12,(주)한결에이엠,위탁관리,21,(주)한결에이엠,음식물쓰레기종량제,위탁관리,(주)21세기매니지면트
A10026710,위탁관리,3,위탁관리,3,아이피비엠씨관리 주식회사,위탁관리,1,아이피비엠씨관리(주),음식물쓰레기종량제,위탁관리,(주)일오삼이엔지
A10026720,위탁관리,4,위탁관리,4,인동종합관리,위탁관리,3,인동종합관리,음식물쓰레기종량제,위탁관리,휘성
A10026729,위탁관리,3,자치관리,0,,위탁관리,1,굿에어테크,음식물쓰레기종량제,위탁관리,
A10026734,위탁관리,6,위탁관리,4,주식회사 시큐원,위탁관리,5,(주)이데아그룹,음식물쓰레기종량제,위탁관리,(주)지산아이앤씨
A10026748,위탁관리,14,위탁관리,18,에스원,위탁관리,27,삼일시스템,음식물쓰레기종량제,위탁관리,지산아이앤씨
A10026759,위탁관리,5,위탁관리,10,에스텍시스템,위탁관리,5,한성개발엘리베이터(주),기타,위탁관리,블루써브
A10026761,위탁관리,4,,,,위탁관리,4,벰코,음식물쓰레기종량제,위탁관리,플러스에코
A10026816,위탁관리,12,위탁관리,16,(주)에스원,위탁관리(직영+위탁),16,,차량수거방식,위탁관리,
A10026834,위탁관리(직영+위탁),8,위탁관리,8,홈스텍,위탁관리,12,원광,음식물쓰레기종량제,위탁관리,(유)우원티엠
A10026842,위탁관리,3,위탁관리,2,(주)에스원,위탁관리,2,,기타,위탁관리,
A10026852,위탁관리,18,위탁관리,16,(주)에스텍시스템,위탁관리,20,(주)홈스웰,음식물쓰레기종량제,위탁관리,(주)다인서비
A10026874,위탁관리,6,위탁관리,2,주식회사 쉴드인터내셔널,위탁관리,6,(주)(쉴드인터내셔널,음식물쓰레기종량제,위탁관리,한국종합방제
A10026879,위탁관리,10,위탁관리,9,에스원,위탁관리,17,케이티팝스,거점장비수거방식,위탁관리,새롬에스앤씨주식회사
A10026881,위탁관리,19,위탁관리,11,(주)듀델코리아,위탁관리,20,(주)듀델코리아,음식물쓰레기종량제,위탁관리,나라개발시스템(주)
A10026900,위탁관리,6,위탁관리,5,에스원,위탁관리,9,세원종합관리,차량수거방식,위탁관리,티엔크린
A10026922,위탁관리,6,위탁관리,6,에스원,위탁관리,6,홈스웰,거점장비수거방식,위탁관리,대양디아이
A10026924,위탁관리,5,위탁관리,4,홈스웰,자치관리,3,,음식물쓰레기종량제,위탁관리,이수환경공사
A10026940,위탁관리,5,위탁관리,2,동진파트너스(주),위탁관리,4,동진파트너스(주),차량수거방식,위탁관리,동아기업환경
A10026941,위탁관리,14,위탁관리,10,(주)에스원,위탁관리,14,세이프원,차량수거방식,위탁관리,에이스나무병원주식회사
A10026946,위탁관리,5,위탁관리,3,태림,위탁관리,4,태강티엠에스,차량수거방식,위탁관리,주신환경
A10026947,위탁관리,6,위탁관리,4,ADT캡스,위탁관리,7,지앤비,차량수거방식,위탁관리,
A10026988,위탁관리,20,위탁관리,23,(주)타워피엠씨,위탁관리,24,(주)타워피엠씨,차량수거방식,위탁관리,주식회사 우원티엠
A10027019,위탁관리,3,위탁관리,2,주식회사 휴스트,위탁관리,2,(주)휴스트,음식물쓰레기종량제,위탁관리,(주)성우서비스
A10027071,위탁관리,4,위탁관리,3,한국보안컨설팅,위탁관리,3,우리관리,음식물쓰레기종량제,위탁관리,다빈환경
A10027089,위탁관리,4,위탁관리,2,(주)다보산업관리,위탁관리,2,(주)다보산업관리,음식물쓰레기종량제,위탁관리,(주)해솔
A10027090,위탁관리,6,위탁관리,6,(주)에스원,위탁관리,6,(주)태영그린,차량수거방식,위탁관리,(주)진성관리
A10027105,위탁관리,7,위탁관리,7,에스원,위탁관리,8,(주)두원에이앤씨,음식물쓰레기종량제,위탁관리,이수환경공사(주)
A10027118,위탁관리,19,위탁관리,8,(주)에스원,위탁관리,16,,음식물쓰레기종량제,위탁관리,
A10027121,위탁관리,5,위탁관리,3,(주)혜진종합관리,위탁관리,4,(주)동아씨스템,음식물쓰레기종량제,위탁관리,(주)지산아이앤씨
