단지코드,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,청소관리-계약업체,음식물 처리방법,소독관리-관리방식,소독관리-계약업체
A13184610,자치관리,14,위탁관리,29,(주)인동,위탁관리,17,(주)인동,음식물쓰레기종량제,위탁관리,(유)우원티엠
A13184804,위탁관리,4,위탁관리,2,가온종합관리,위탁관리,2,,음식물쓰레기종량제,위탁관리,
A13185402,위탁관리,2,자치관리(직영),3,,위탁관리,2,동진종합시스템,음식물쓰레기종량제,위탁관리,한빛티에스
A13185501,위탁관리,1,위탁관리,2,코리아이지텍(주),위탁관리,2,(주)진성관리,음식물쓰레기종량제,위탁관리,동서환경(주)
A13185502,위탁관리,2,위탁관리,2,백송종합관리,위탁관리,2,(주)태은환경,음식물쓰레기종량제,위탁관리,(주)휘성
A13185507,위탁관리,4,위탁관리,3,유케이개발,위탁관리,3,유케이개발,음식물쓰레기종량제,위탁관리,(주)에스앤산업
A13185508,위탁관리,6,위탁관리,6,인덕종합관리,위탁관리,5,(주)미래에이비엠,음식물쓰레기종량제,위탁관리,21세기매니지먼트
A13185602,위탁관리,5,위탁관리,4,국제안전시스템,위탁관리,4,탄천산업,음식물쓰레기종량제,위탁관리,한빛티에스
A13185603,위탁관리,5,위탁관리,6,(주)듀델코리아,위탁관리,4,,음식물쓰레기종량제,위탁관리,
A13185607,위탁관리,9,위탁관리,10,신현대관리(주),위탁관리,14,인동종합관리(주),음식물쓰레기종량제,위탁관리,우원티엠(주)
A13186305,위탁관리,8,위탁관리,16,(주)피누스이앤씨,위탁관리,8,(주)신화비엠씨,음식물쓰레기종량제,위탁관리,태영종합관리(주)
A13186306,위탁관리,8,위탁관리,9,(주)광운티엠에스,위탁관리,3,(주)광운티엠에스,차량수거방식,위탁관리,(주)에스앤산업
A13186401,위탁관리,4,위탁관리,5,인동종합관리(주),위탁관리,3,,음식물쓰레기종량제,위탁관리,
A13186502,위탁관리,2,위탁관리,2,국제안전시스템,위탁관리,2,국제안전시스템,차량수거방식,위탁관리,국제안전시스템
A13186503,위탁관리,4,위탁관리,2,백송종합관리,위탁관리,2,(주) 진성관리,음식물쓰레기종량제,위탁관리,(주) 청정티엠에스
A13186504,위탁관리,4,위탁관리,4,(주)인동,위탁관리,3,(주)인동,음식물쓰레기종량제,위탁관리,(주)동명환경
A13186708,위탁관리,9,위탁관리,20,신현대관리(주),위탁관리,10,신현대관리(주),음식물쓰레기종량제,위탁관리,(주)굿모닝대양
A13186801,위탁관리,1,위탁관리,2,(주)세연종합관리,위탁관리,1,지앤비,음식물쓰레기종량제,위탁관리,(주)청정티엠에스
A13186905,위탁관리,3,위탁관리,4,우진관리주식회사,위탁관리,2,우진관리,음식물쓰레기종량제,위탁관리,(주)와이브이시스템
A13186907,위탁관리,6,위탁관리,11,한국보안컨설팅(주),위탁관리,7,(주)두언에이앤씨,음식물쓰레기종량제,위탁관리,주식회사 한빛티에스
A13187004,위탁관리,8,위탁관리,10,인앤인주택관리(주),위탁관리,7,태경관리,음식물쓰레기종량제,위탁관리,(주)와이브이시스템
A13187201,위탁관리,8,위탁관리,16,(주)국제안전시스템,위탁관리,7,인동종합관리(주),음식물쓰레기종량제,위탁관리,지산INC
A13187203,위탁관리,11,위탁관리,14,한국보안,위탁관리,7,태경종합관리,음식물쓰레기종량제,위탁관리,(주)YV시스템
A13187302,위탁관리,6,위탁관리,12,(주)웅산산업개발,위탁관리,5,,음식물쓰레기종량제,위탁관리,
A13187305,위탁관리,9,위탁관리,20,신현대관리,위탁관리,6,유한회사 화이트시스템,기타,위탁관리,태양이앤지
A13187306,위탁관리,9,위탁관리,10,새롬씨큐리티(주),위탁관리,6,(주)미래에이비엠,음식물쓰레기종량제,위탁관리,(주)태인이앤지
A13187406,위탁관리,6,위탁관리,6,(주) 정화실업,위탁관리,5,(주)신현대관리,차량수거방식,위탁관리,(주)동명환경
A13187501,위탁관리,2,위탁관리,4,(주)신현대관리,위탁관리,2,(주)신현대관리,음식물쓰레기종량제,위탁관리,(주)신현대관리외주_주)신웅환경시스템
A13187702,위탁관리,10,위탁관리,20,인덕종합관리(주),위탁관리,13,뉴먼테크,음식물쓰레기종량제,위탁관리,주신환경(주)
A13188406,위탁관리,6,위탁관리,8,(주)국제안전시스템,위탁관리,4,(주)신현대관리,음식물쓰레기종량제,위탁관리,(주)휘성
A13201001,위탁관리,2,위탁관리,2,(주)국제안전시스템,위탁관리,1,(주)지엔비,음식물쓰레기종량제,위탁관리,(주)휘성
A13201002,위탁관리,4,위탁관리,2,세이프원,위탁관리,2,태성,기타,위탁관리,-
A13201201,위탁관리,4,위탁관리,2,(주)에스지세콤,위탁관리,2,(주)에스지세콤,음식물쓰레기종량제,위탁관리,(주)씨엔자산관리
A13201202,위탁관리,4,위탁관리,0,(주)덕우,자치관리,1,,차량수거방식,위탁관리,(주)휘성
A13201203,위탁관리,6,자치관리(직영),2,,위탁관리,2,동진종합시스템(주),음식물쓰레기종량제,위탁관리,(주)청정티엠에스
A13201206,위탁관리,5,위탁관리,8,(주)이엠피서비스,위탁관리,6,태영건물종합관리(주),차량수거방식,위탁관리,(주)21세기메니지먼트
A13201207,위탁관리,9,위탁관리,12,(주)백송종합관리,위탁관리,6,,차량수거방식,위탁관리,
A13201208,위탁관리,13,위탁관리,26,유원종합관리,위탁관리,11,우원티엠,음식물쓰레기종량제,위탁관리,21세기토탈관리
A13201209,위탁관리,20,위탁관리,30, 새롬종합관리(주),위탁관리,22,라포프,차량수거방식,위탁관리,다인서비스
A13202002,위탁관리,10,위탁관리,15,주)로이안에이치앤에프,위탁관리,18,주)로이안에이치앤에프,차량수거방식,위탁관리,청정티엠에스
A13202102,위탁관리,4,위탁관리,4,(주)대온관리,위탁관리,3,(주)대온관리,음식물쓰레기종량제,위탁관리,(주)동명환경
A13202103,위탁관리,4,위탁관리,4,(주)미래에이비엠,위탁관리,3,(주)정다운세상,차량수거방식,위탁관리,(주)미래에이비엠
A13202302,위탁관리,2,위탁관리,2,(주)국제안전시스템,위탁관리,2,(주)국제안전시스템,차량수거방식,위탁관리,(주)덕정환경
A13202304,자치관리,3,자치관리,2,,자치관리(직영),1,,음식물쓰레기종량제,자치관리(직영),
A13202306,위탁관리,2,위탁관리,5,(주)한국경영관리,위탁관리,3,인덕종합관리(주),차량수거방식,위탁관리,동진엠엔에스
A13202308,위탁관리,5,위탁관리,8,(주)옥산개발,위탁관리,4,태영건물 종합관리(주),거점장비수거방식,위탁관리,21세기 매니지먼트
A13202312,위탁관리,18,위탁관리,33,주식회사 에스원,위탁관리,31,,기타,위탁관리,
A13203001,위탁관리,2,위탁관리,2,가온종합개발,위탁관리,2,가온종합관리,차량수거방식,위탁관리,21세기매니지먼트
A13203002,위탁관리,4,위탁관리,4,(주)혜진종합관리,위탁관리,2,(주)이오티엔디,차량수거방식,위탁관리,(주)동진엠엔에스
A13203102,위탁관리,5,위탁관리,4,(주)혜진종합관리,위탁관리,3,(주)혜진종합관리,음식물쓰레기종량제,위탁관리,(주)21세기매니지먼트
A13203202,위탁관리,2,위탁관리,4,인덕종합관리,위탁관리,2,우인성업,차량수거방식,위탁관리,(주)더자람
A13203302,위탁관리,5,위탁관리,4,조은세이프,위탁관리,5,,음식물쓰레기종량제,위탁관리,
A13203303,자치관리,8,위탁관리,18,인덕종합관리(주),위탁관리,7,인덕종합관리(주),음식물쓰레기종량제,위탁관리,태은환경
A13203401,위탁관리,2,위탁관리,2,승학,위탁관리,2,폴리텍,음식물쓰레기종량제,위탁관리,진성이앤지
A13203403,위탁관리,4,자치관리(직영),,,위탁관리,3,,음식물쓰레기종량제,위탁관리,
