단지코드,건물구조,전기-수전용량,전기-세대전기계약방식,승강기관리-관리방식,승강기대수,총주차대수,CCTV대수,홈네트워크,부대복리시설,최고층수,지하층수
A13201209,철근콘크리트구조,8100,단일계약,위탁관리,80,2509,516,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",17,1
A13201201,철근콘크리트구조,600,단일계약,위탁관리,4,228,24,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",18,0
A13201002,철근콘크리트구조,500,단일계약,위탁관리,3,199,19,무,"노인정, 어린이놀이터",15,1
A13201208,철근콘크리트구조,4550,단일계약,위탁관리,21,693,112,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",18,1
A13280104,철골콘크리트구조,950,단일계약,위탁관리,12,215,41,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",15,0
A10020305,철골철근콘크리트구조,1700,종합계약,위탁관리,4,119,51,유,,14,2
A13984004,철근콘크리트구조,8100,단일계약,위탁관리,61,3967,381,무,"관리사무소, 노인정, 어린이놀이터, 유치원",28,3
A10027716,철골콘크리트구조,2000,단일계약,위탁관리,34,598,179,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",20,2
A10027121,철근콘크리트구조,2250,단일계약,위탁관리,17,360,188,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",9,2
A13991018,철근콘크리트구조,3250,단일계약,위탁관리,36,1153,250,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",13,1
A13987501,철근콘크리트구조,750,단일계약,위탁관리,7,166,32,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,1
A13905302,철골철근콘크리트구조,570,종합계약,위탁관리,10,390,85,유,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",15,1
A10024636,철골철근콘크리트구조,145,단일계약,위탁관리,4,130,29,무,"관리사무소, 노인정",15,1
A13987503,철근콘크리트구조,800,단일계약,위탁관리,5,194,32,유,"관리사무소, 노인정, 어린이놀이터",19,3
A13905204,철근콘크리트구조,1700,기타,위탁관리,6,226,33,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,0
A13905208,철근콘크리트구조,300,기타,위탁관리,8,306,41,무,"관리사무소, 어린이놀이터",15,0
A10020255,철골콘크리트구조,600,종합계약,,0,151,16,유,,23,2
A13985201,철근콘크리트구조,650,종합계약,위탁관리,8,126,37,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",17,1
A13905102,철근콘크리트구조,990,종합계약,위탁관리,7,237,61,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",17,2
A13985103,철근콘크리트구조,900,종합계약,위탁관리,9,620,64,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",20,0
A13984604,철근콘크리트구조,2000,단일계약,위탁관리,9,590,64,무,"관리사무소, 노인정, 어린이놀이터",12,0
A13991016,철골콘크리트구조,1190,단일계약,위탁관리,8,206,33,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",14,1
A13905105,철근콘크리트구조,4200,종합계약,위탁관리,22,1469,301,무,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 유치원",27,1
A13995602,철근콘크리트구조,965,단일계약,위탁관리,16,347,90,무,"관리사무소, 노인정, 보육시설, 어린이놀이터",15,1
A13984409,철근콘크리트구조,350,기타,위탁관리,10,293,85,유,"관리사무소, 노인정, 어린이놀이터",15,1
A13984411,철근콘크리트구조,700,기타,위탁관리,10,334,49,무,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소",15,1
A13984603,철근콘크리트구조,950,단일계약,위탁관리,6,206,38,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",12,0
A13984003,철근콘크리트구조,2100,단일계약,위탁관리,7,289,46,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",14,0
A13905301,철근콘크리트구조,845,단일계약,위탁관리,8,205,32,무,"관리사무소, 노인정, 어린이놀이터",15,0
