단지코드,건물구조,전기-수전용량,전기-세대전기계약방식,승강기관리-관리방식,승강기대수,총주차대수,CCTV대수,홈네트워크,부대복리시설,최고층수,지하층수
A11007001,철근콘크리트구조,2150,종합계약,위탁관리,5,315,82,무,"관리사무소, 주민공동시설",16,3
A10021295,철근콘크리트구조,1700,단일계약,위탁관리,8,458,87,유,,16,1
A10021652,철근콘크리트구조,1350,종합계약,위탁관리,0,283,158,무,,16,4
A11005401,철골철근콘크리트구조,6150,종합계약,위탁관리,21,1415,256,유,"관리사무소, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",14,4
A11034001,철근콘크리트구조,1250,단일계약,위탁관리,4,204,56,무,"관리사무소, 자전거보관소",9,3
A10020992,,,,,0,0,,,,15,0
A11041001,철골철근콘크리트구조,2000,종합계약,위탁관리,8,428,81,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",19,5
A10027162,철골철근콘크리트구조,500,종합계약,위탁관리,2,93,32,무,"관리사무소, 주민공동시설, 자전거보관소",14,3
A10023586,철골철근콘크리트구조,900,종합계약,위탁관리,4,230,126,유,"관리사무소, 커뮤니티공간, 자전거보관소, 기타",15,5
A11052201,철근콘크리트구조,1200,단일계약,위탁관리,12,438,66,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",20,3
A11076701,기타구조,650,단일계약,위탁관리,2,163,70,무,"관리사무소, 노인정, 어린이놀이터",8,2
A11054101,철근콘크리트구조,1700,단일계약,위탁관리,11,521,108,무,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터",23,2
A11054301,철근콘크리트구조,275,단일계약,위탁관리,10,306,60,무,"관리사무소, 노인정, 어린이놀이터",14,0
A11077101,철근콘크리트구조,1700,단일계약,위탁관리,17,500,126,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,0
A10021626,철골철근콘크리트구조,782,종합계약,위탁관리,4,172,52,무,"관리사무소, 노인정, 어린이놀이터",19,2
A11087601,철근콘크리트구조,3650,종합계약,위탁관리,4,286,88,무,"관리사무소, 노인정, 자전거보관소",30,4
A10024713,철골철근콘크리트구조,500,단일계약,위탁관리,2,71,16,무,관리사무소,8,1
A11087602,철근콘크리트구조,2350,단일계약,위탁관리,18,512,127,무,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",12,3
A11055002,철근콘크리트구조,1750,단일계약,위탁관리,10,342,93,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",20,2
A10027105,철근콘크리트구조,5057,단일계약,위탁관리,25,734,238,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",20,4
A10027118,철근콘크리트구조,8500,단일계약,위탁관리,40,1456,363,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",21,2
A10026940,철골철근콘크리트구조,1700,종합계약,위탁관리,4,222,31,유,"관리사무소, 커뮤니티공간, 자전거보관소, 기타",19,5
A10026946,철근콘크리트구조,2600,단일계약,위탁관리,18,501,109,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",19,2
A10021355,철근콘크리트구조,129,기타,,0,129,27,무,,3,1
A10024669,,,,,0,0,,,,3,0
A10024780,,,,,0,0,,,,3,0
A10021787,철골철근콘크리트구조,761,기타,,0,252,20,무,,3,0
A10021278,,,,,0,0,,,,11,0
A11084601,철근콘크리트구조,750,종합계약,위탁관리,6,256,52,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",14,2
A11001203,철근콘크리트구조,1015,종합계약,위탁관리,4,170,32,무,"관리사무소, 노인정, 어린이놀이터",15,2
A10025710,철근콘크리트구조,1348,종합계약,위탁관리,16,245,134,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",16,2
A11081503,철근콘크리트구조,3000,단일계약,위탁관리,25,1162,120,무,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",23,2
A11008001,철근콘크리트구조,1650,단일계약,위탁관리,8,205,60,무,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소",22,2
A10027708,철골철근콘크리트구조,950,단일계약,위탁관리,7,212,70,유,"관리사무소, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",17,3
A11081302,철근콘크리트구조,3000,종합계약,위탁관리,29,1044,248,유,"관리사무소, 노인정, 어린이놀이터",17,0
A10020414,철근콘크리트구조,,종합계약,위탁관리,8,0,,유,"관리사무소, 휴게시설, 커뮤니티공간, 자전거보관소",18,4
A10088101,철골철근콘크리트구조,2550,종합계약,위탁관리,10,567,196,유,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",30,7
A10088102,철근콘크리트구조,7675,종합계약,위탁관리,10,760,242,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",32,7
A10072501,철근콘크리트구조,5150,종합계약,위탁관리,7,605,146,유,"관리사무소, 어린이놀이터, 휴게시설, 커뮤니티공간",33,7
A10071301,기타철골철근콘크리트구조,6825,종합계약,위탁관리,8,536,266,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",32,7
A10086301,철근콘크리트구조,900,단일계약,위탁관리,4,0,91,무,관리사무소,16,1
A10025223,철근콘크리트구조,1500,단일계약,위탁관리,3,212,43,유,관리사무소,20,5
A10023352,철골철근콘크리트구조,3000,종합계약,위탁관리,7,366,137,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",26,9
A10028201,철골철근콘크리트구조,500,단일계약,위탁관리,3,0,37,무,"관리사무소, 자전거보관소",10,5
A10026849,,,,,0,0,,,,10,0
A10022761,철근콘크리트구조,1500,종합계약,위탁관리,6,302,139,유,"관리사무소, 문고, 주민공동시설, 커뮤니티공간, 자전거보관소",9,3
A10024327,철골철근콘크리트구조,950,단일계약,위탁관리,2,142,16,무,주민공동시설,15,3
A10023356,철골철근콘크리트구조,4850,단일계약,위탁관리,6,351,199,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",27,8
A10023343,철골철근콘크리트구조,2750,단일계약,위탁관리,12,511,296,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",27,8
A10078901,철근콘크리트구조,4050,종합계약,위탁관리,30,968,279,유,"관리사무소, 노인정, 보육시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",15,6
A10078902,철근콘크리트구조,760,단일계약,위탁관리,2,161,33,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,2
A10025456,철근콘크리트구조,3000,종합계약,위탁관리,12,504,144,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",20,3
A10025372,콘크리트구조,1450,단일계약,위탁관리,8,176,76,유,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",16,3
A10045302,철근콘크리트구조,10350,단일계약,위탁관리,74,3319,589,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",18,3
A10045301,철근콘크리트구조,4585,단일계약,위탁관리,25,776,135,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",18,0
A10045403,철근콘크리트구조,4050,단일계약,위탁관리,25,1277,223,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",23,5
A10045401,철근콘크리트구조,1125,단일계약,위탁관리,6,136,21,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",21,3
A10045404,철근콘크리트구조,5500,단일계약,위탁관리,36,1835,275,무,"관리사무소, 노인정, 어린이놀이터",20,3
A10045001,철근콘크리트구조,2000,단일계약,위탁관리,12,652,138,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",23,3
A10045601,철근콘크리트구조,2850,단일계약,위탁관리,20,753,104,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,0
A10023488,철골콘크리트구조,2450,종합계약,위탁관리,4,96,49,무,"관리사무소, 자전거보관소",11,0
A10045402,철근콘크리트구조,1180,단일계약,위탁관리,8,179,44,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",18,0
A10045002,철근콘크리트구조,3250,종합계약,위탁관리,33,1002,208,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",15,3
A10078103,철근콘크리트구조,950,단일계약,위탁관리,2,112,27,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,2
A10078102,철근콘크리트구조,600,단일계약,위탁관리,4,142,28,무,"관리사무소, 노인정, 어린이놀이터",15,0
A10095501,철골철근콘크리트구조,1600,단일계약,위탁관리,2,94,67,유,"관리사무소, 문고, 커뮤니티공간, 자전거보관소",15,3
A10095502,철근콘크리트구조,4135,단일계약,위탁관리,8,618,237,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 기타",36,6
A10044001,일반철골구조,1150,단일계약,위탁관리,6,151,46,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",33,0
A10044002,일반철골구조,6150,종합계약,위탁관리,25,1959,810,유,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",33,0
A10020147,,,,,0,0,,,,18,3
A10086801,철근콘크리트구조,2800,종합계약,위탁관리,9,414,185,유,"관리사무소, 어린이놀이터",20,6
A10024801,철골철근콘크리트구조,750,단일계약,위탁관리,5,132,47,유,,20,3
A10024359,철골철근콘크리트구조,1850,종합계약,위탁관리,2,131,50,무,"관리사무소, 휴게시설, 자전거보관소",9,5
A10027364,철근콘크리트구조,2750,종합계약,위탁관리,8,363,170,무,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",22,5
A10024756,,,,,0,0,,,,27,0
A10023788,철근콘크리트구조,1064,단일계약,위탁관리,4,101,54,무,"관리사무소, 주민공동시설, 휴게시설, 자전거보관소",7,2
A10095301,철근콘크리트구조,1500,단일계약,위탁관리,3,641,23,유,"관리사무소, 주민공동시설, 휴게시설, 자전거보관소",35,7
A10085902,철근콘크리트구조,650,단일계약,위탁관리,4,240,45,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",18,3
A10085903,철근콘크리트구조,2400,단일계약,위탁관리,36,890,173,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",18,2
A10080701,철근콘크리트구조,1500,단일계약,위탁관리,7,221,45,유,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",15,2
A10026881,철골철근콘크리트구조,5500,단일계약,위탁관리,31,1547,352,유,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",25,5
A10026517,철골콘크리트구조,1564,단일계약,위탁관리,8,217,92,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",14,2
A14019001,철근콘크리트구조,375,단일계약,위탁관리,5,120,14,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설",7,1
A10020608,철골철근콘크리트구조,2160,종합계약,관리방식미정,3,150,136,유,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",24,4
A14070901,철골철근콘크리트구조,2000,종합계약,위탁관리,17,624,280,유,"관리사무소, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",35,8
A10020656,철골철근콘크리트구조,1460,종합계약,위탁관리,4,95,129,무,"관리사무소, 주민공동시설, 휴게시설",10,5
A14070301,철근콘크리트구조,10880,종합계약,위탁관리,11,394,70,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",24,5
A14070302,철골철근콘크리트구조,5250,단일계약,위탁관리,13,922,167,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",37,6
A10023798,철골철근콘크리트구조,3750,단일계약,위탁관리,12,423,219,유,"관리사무소, 보육시설, 문고, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",29,6
A14006001,철근콘크리트구조,850,단일계약,위탁관리,8,196,46,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,1
A14004002,철근콘크리트구조,3000,단일계약,위탁관리,23,1312,180,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",20,4
A14076401,철근콘크리트구조,750,단일계약,위탁관리,5,324,37,무,"관리사무소, 노인정, 어린이놀이터",20,2
A14004001,철근콘크리트구조,900,단일계약,위탁관리,4,242,32,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설",14,3
A14005001,철근콘크리트구조,2300,종합계약,위탁관리,6,534,111,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,0
A14085101,철근콘크리트구조,950,단일계약,위탁관리,12,291,65,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",22,2
A14085002,철근콘크리트구조,1530,단일계약,위탁관리,9,514,52,무,"관리사무소, 어린이놀이터, 휴게시설, 자전거보관소",12,0
A10022232,조적구조,24,단일계약,,0,85,20,무,"관리사무소, 자전거보관소",6,1
A10025898,철근콘크리트구조,1800,단일계약,위탁관리(직영+위탁),14,216,86,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",18,3
A10023858,철근콘크리트구조,2400,종합계약,위탁관리,19,465,233,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",14,3
A10025533,철근콘크리트구조,2630,단일계약,위탁관리,30,521,225,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",22,4
A14074101,철근콘크리트구조,1750,단일계약,위탁관리,9,345,109,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",24,4
A14074102,철골철근콘크리트구조,23,단일계약,,0,109,8,무,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소, 기타",6,0
A14007002,철근콘크리트구조,3875,단일계약,위탁관리,39,1927,318,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",22,4
A14007001,철골철근콘크리트구조,950,단일계약,위탁관리,6,263,47,무,"관리사무소, 노인정, 보육시설, 어린이놀이터",20,2
A14083101,철근콘크리트구조,1100,단일계약,위탁관리,10,224,60,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",10,2
A10027901,철골철근콘크리트구조,2600,단일계약,위탁관리,8,289,106,유,"관리사무소, 노인정, 주민공동시설, 커뮤니티공간, 자전거보관소",39,6
A14010003,철근콘크리트구조,2250,종합계약,위탁관리,8,463,97,유,"관리사무소, 노인정, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",32,3
A14010001,철골철근콘크리트구조,2500,종합계약,위탁관리,5,392,72,유,"관리사무소, 노인정, 보육시설, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",32,3
A14010002,철근콘크리트구조,1600,단일계약,위탁관리,6,314,130,무,"관리사무소, 노인정, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",34,5
A14009001,철근콘크리트구조,4500,단일계약,위탁관리,21,1046,257,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",25,2
A14001101,철골철근콘크리트구조,2750,종합계약,위탁관리,4,307,105,유,"관리사무소, 자전거보관소",37,6
A14075201,철근콘크리트구조,7750,종합계약,위탁관리,8,595,141,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",34,5
A10026922,철골철근콘크리트구조,1767,종합계약,위탁관리,10,476,248,유,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간",40,9
A10026719,철골철근콘크리트구조,5000,종합계약,위탁관리,17,777,200,무,"관리사무소, 주민공동시설, 커뮤니티공간, 자전거보관소, 기타",36,7
A10024333,철골철근콘크리트구조,2750,종합계약,위탁관리,14,687,476,유,"관리사무소, 보육시설, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",37,7
A10023195,철골철근콘크리트구조,1300,단일계약,위탁관리,3,199,45,무,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",28,2
A10026759,철골철근콘크리트구조,9750,종합계약,위탁관리,4,332,14,유,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",37,9
A10021269,철골콘크리트구조,1500,기타,위탁관리,4,128,21,무,"관리사무소, 자전거보관소",15,0
A14001201,철근콘크리트구조,2500,단일계약,위탁관리,8,350,56,유,"관리사무소, 어린이놀이터, 자전거보관소",33,4
A10020622,철골구조,6300,종합계약,위탁관리,13,299,223,유,"관리사무소, 커뮤니티공간",39,8
A14002501,철근콘크리트구조,15450,종합계약,위탁관리,31,2147,485,유,"관리사무소, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",40,4
A14088201,철근콘크리트구조,4280,종합계약,위탁관리,10,575,123,유,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",33,5
A10022504,,,,,0,0,,,,20,6
A10024691,철골철근콘크리트구조,13750,종합계약,위탁관리,26,2005,614,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",43,5
A14001303,철근콘크리트구조,5250,종합계약,위탁관리,14,1051,228,유,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",42,3
A14074501,,,,,0,0,,,,12,1
A14088302,철근콘크리트구조,3450,종합계약,위탁관리,8,451,54,무,"관리사무소, 노인정, 어린이놀이터",29,3
A14003007,철근콘크리트구조,4000,종합계약,위탁관리,20,1686,242,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",25,2
A14003001,철근콘크리트구조,900,종합계약,위탁관리,5,258,55,무,"관리사무소, 노인정, 보육시설, 어린이놀이터",20,2
A10022800,철근콘크리트구조,400,종합계약,위탁관리,3,122,22,무,"관리사무소, 어린이놀이터",14,2
A10027908,철골철근콘크리트구조,57500,종합계약,위탁관리,11,1249,223,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",56,3
A14072901,철근콘크리트구조,1250,종합계약,위탁관리,8,206,32,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",22,1
A14072702,철근콘크리트구조,2750,단일계약,위탁관리,19,834,108,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",22,2
A14003106,철근콘크리트구조,2350,단일계약,위탁관리,23,1066,142,무,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",22,2
A14090902,철근콘크리트구조,1650,단일계약,위탁관리,12,465,57,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",22,2
A14003004,철근콘크리트구조,1450,종합계약,위탁관리,9,475,96,무,"관리사무소, 어린이놀이터",25,2
A14003104,철근콘크리트구조,1827,단일계약,위탁관리,8,608,136,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",18,2
A14003006,철근콘크리트구조,1650,종합계약,위탁관리,22,539,85,무,"관리사무소, 노인정, 어린이놀이터",22,2
A14003101,철근콘크리트구조,860,종합계약,위탁관리,8,192,36,무,"관리사무소, 어린이놀이터",12,1
A14003002,철근콘크리트구조,900,단일계약,,0,250,25,무,관리사무소,5,0
A14003008,철근콘크리트구조,2100,종합계약,,0,1000,14,무,"관리사무소, 노인정, 어린이놀이터",5,0
A14077401,철골철근콘크리트구조,742,종합계약,위탁관리,4,137,17,무,"관리사무소, 자전거보관소",18,0
A14072701,철근콘크리트구조,4750,단일계약,위탁관리,48,2173,186,유,"관리사무소, 노인정, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",22,3
A14003105,철근콘크리트구조,2000,단일계약,위탁관리,19,1162,120,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",24,0
A14003003,철근콘크리트구조,1050,단일계약,위탁관리,6,202,28,무,"관리사무소, 어린이놀이터, 자전거보관소",12,1
A14085501,철근콘크리트구조,1900,단일계약,위탁관리,13,379,80,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소, 기타",22,0
A14086101,철근콘크리트구조,1065,종합계약,,0,530,80,무,"관리사무소, 노인정, 어린이놀이터",5,1
A10027425,,,,,0,0,,,,5,1
A14086001,철근콘크리트구조,3200,단일계약,위탁관리,20,395,97,무,"관리사무소, 노인정, 어린이놀이터",12,0
A10025192,철근콘크리트구조,6500,종합계약,위탁관리,55,1594,1750,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",9,4
A10021637,철골철근콘크리트구조,1100,기타,위탁관리,2,136,48,무,"관리사무소, 자전거보관소",13,4
A14077902,철근콘크리트구조,9175,종합계약,위탁관리,60,1717,637,유,"관리사무소, 주민공동시설, 어린이놀이터, 커뮤니티공간",12,2
A14021001,철근콘크리트구조,1550,종합계약,위탁관리,7,373,64,무,"관리사무소, 커뮤니티공간, 기타",15,3
A10022228,,,,,0,0,,,,17,3
A10023379,철근콘크리트구조,810,종합계약,위탁관리,3,128,30,무,"관리사무소, 노인정, 휴게시설, 자전거보관소",15,2
A10027071,철골철근콘크리트구조,850,종합계약,위탁관리,4,189,74,유,"관리사무소, 휴게시설, 자전거보관소",18,7
A14077901,철근콘크리트구조,1800,단일계약,위탁관리,15,470,99,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",15,2
A10021339,철골콘크리트구조,250,종합계약,위탁관리,1,12,8,무,관리사무소,6,1
A10022221,철골철근콘크리트구조,675,단일계약,위탁관리,3,167,16,무,,19,2
A14024001,철근콘크리트구조,1090,단일계약,위탁관리,5,304,54,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",18,2
A14024002,철근콘크리트구조,4850,단일계약,위탁관리,51,1517,230,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",13,1
A14082302,철근콘크리트구조,800,단일계약,위탁관리,8,247,59,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,3
A14082601,철근콘크리트구조,780,단일계약,위탁관리,9,206,62,무,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",15,0
A13373302,철근콘크리트구조,800,단일계약,위탁관리,4,164,31,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",13,2
A13373301,철골철근콘크리트구조,4750,단일계약,위탁관리,33,1401,305,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",25,2
A13377302,철근콘크리트구조,1150,단일계약,위탁관리,6,100,37,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",18,2
A13385802,철근콘크리트구조,870,단일계약,위탁관리,10,207,49,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",15,1
A10027432,철골콘크리트구조,2000,단일계약,위탁관리,20,299,105,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",18,3
A10027289,철근콘크리트구조,15630,기타,위탁관리,73,3166,863,유,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",28,5
A10026900,철골철근콘크리트구조,2500,종합계약,위탁관리,17,933,241,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",20,4
A10027969,철골철근콘크리트구조,1610,단일계약,위탁관리,6,294,60,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",14,2
A13302206,철골콘크리트구조,2800,단일계약,위탁관리,25,849,190,무,"관리사무소, 노인정, 어린이놀이터",18,5
A13302001,철근콘크리트구조,2550,단일계약,위탁관리,23,825,126,무,"관리사무소, 노인정, 어린이놀이터",21,4
A13388001,철근콘크리트구조,700,단일계약,위탁관리,4,132,28,무,"관리사무소, 노인정, 어린이놀이터",15,0
A10027920,철골콘크리트구조,7250,종합계약,위탁관리,41,2055,165,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",25,3
A13302203,철근콘크리트구조,1850,종합계약,위탁관리,11,457,51,무,"관리사무소, 노인정, 어린이놀이터",23,2
A13302204,철근콘크리트구조,2500,종합계약,위탁관리,12,534,146,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설",24,3
A13377301,철근콘크리트구조,632,단일계약,위탁관리,2,63,5,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설",18,2
A13385705,철근콘크리트구조,1600,단일계약,위탁관리,17,374,67,무,"관리사무소, 노인정, 어린이놀이터",15,1
A13302201,철골철근콘크리트구조,1150,단일계약,위탁관리,7,304,88,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",21,2
A10024762,철골철근콘크리트구조,582,단일계약,위탁관리,3,115,19,,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,0
A13370801,철근콘크리트구조,2450,단일계약,위탁관리,8,445,81,유,"관리사무소, 노인정, 어린이놀이터",27,4
A10020365,철골콘크리트구조,1750,종합계약,위탁관리,7,163,120,유,,16,4
A13305005,철근콘크리트구조,225,단일계약,위탁관리,7,324,65,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",12,2
A13305007,철근콘크리트구조,1700,단일계약,위탁관리,23,450,25,무,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 휴게시설, 유치원, 자전거보관소",15,0
A13305002,철근콘크리트구조,750,단일계약,위탁관리,6,280,45,유,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소, 기타",22,1
A13381604,콘크리트구조,1300,종합계약,위탁관리,9,456,52,무,"관리사무소, 노인정, 어린이놀이터",24,0
A13305006,철근콘크리트구조,1200,종합계약,위탁관리,9,454,64,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",24,1
A13381601,철근콘크리트구조,975,단일계약,위탁관리,3,178,25,유,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",23,2
A13305003,철근콘크리트구조,900,단일계약,위탁관리,8,305,48,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",19,1
A13381608,철근콘크리트구조,2200,단일계약,위탁관리,54,1042,183,유,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설",28,0
A10022058,철골철근콘크리트구조,670,종합계약,위탁관리,4,141,30,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",19,2
